Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;Die PARTEI;Bergpartei;BGD;DKP;NEIN;WGr/EB;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Partei der Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
024;Aurich - Emden;NI;Urne;190987;113349;1952;111397;35330;57482;1591;5563;9973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1458;0;0;0;0;0;0;0;1563;111786;35561;50303;3364;5725;8819;0;8014;1617;1137;860;92;0;0;0;0;0;126;0;0;27;0;0;3481;0;89;0;0;585;0;0;0
025;Unterems;NI;Urne;232784;143685;1809;141876;78083;44498;3415;5675;6806;0;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;0;0;0;445;1481;142204;69840;44162;5275;5989;7747;0;9191;1924;1210;861;78;0;0;0;0;0;234;0;0;20;0;0;4082;0;137;0;0;645;0;0;0
026;Friesland - Wilhelmshaven - Wittmund;NI;Urne;190034;107032;1967;105065;40962;47198;2220;5681;5595;0;0;1419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1990;0;0;0;0;0;0;0;1519;105513;39856;38977;4184;5801;7335;0;9360;1710;1047;932;78;0;0;0;0;0;65;0;0;60;0;0;4464;0;112;0;0;892;0;0;0
027;Oldenburg - Ammerland;NI;Urne;220409;132920;1473;131447;47861;50376;2818;7507;14224;0;2222;958;0;0;0;0;0;0;0;0;0;0;0;0;4553;0;0;928;0;0;0;0;0;0;0;1222;131698;45787;43962;6305;9013;15564;0;11067;2369;945;1038;46;0;0;0;0;0;107;0;0;52;0;0;5669;0;78;0;0;763;0;0;0
028;Delmenhorst - Wesermarsch - Oldenburg-Land;NI;Urne;227719;135751;1793;133958;53015;53204;4064;6343;7712;0;2377;1485;0;0;0;0;194;0;0;0;0;0;0;0;4477;0;0;1087;0;0;0;0;0;0;0;1750;134001;51793;46269;6364;7692;10352;0;11531;2255;1455;1144;84;0;0;0;0;0;66;0;0;32;0;0;5435;0;155;0;0;905;0;0;0
029;Cuxhaven - Stade II;NI;Urne;187640;114595;1270;113325;52885;41756;1429;4215;6468;0;1799;1168;0;0;0;0;203;0;0;0;0;0;0;0;3402;0;0;0;0;0;0;0;0;0;0;1053;113542;49817;38395;3773;5380;7613;0;8564;1701;1131;902;38;0;0;0;0;0;84;0;0;38;0;0;4065;0;107;0;0;498;0;0;0
030;Stade I - Rotenburg II;NI;Urne;194958;119412;954;118458;56509;40680;1899;4109;6946;0;1666;1278;0;0;0;0;0;0;0;0;0;0;0;0;4802;0;0;569;0;0;0;0;0;0;0;803;118609;53148;36973;4596;5136;8700;0;10056;1806;1159;763;46;0;0;0;0;0;92;0;0;11;0;0;5607;0;96;0;0;476;0;0;0
031;Mittelems;NI;Urne;228051;147373;1426;145947;86543;42455;2192;3958;6714;0;0;794;0;0;0;0;0;0;0;0;0;0;0;0;3291;0;0;0;0;0;0;0;0;0;0;1115;146258;82321;38301;5786;4513;7492;0;7845;2152;727;646;38;0;0;0;0;0;105;0;0;14;0;0;3789;0;118;0;0;256;0;0;0
032;Cloppenburg - Vechta;NI;Urne;216300;132142;1228;130914;87321;27970;2205;3384;4471;0;0;771;0;0;0;875;0;0;0;0;0;0;0;0;2717;0;0;1200;0;0;0;0;0;0;0;1113;131029;83210;26148;5677;3793;5201;0;7000;1580;788;523;43;0;0;0;0;0;235;0;0;18;0;0;3032;0;85;0;0;696;0;0;0
033;Diepholz - Nienburg I;NI;Urne;193097;118098;1282;116816;55387;39334;2265;4235;8430;0;1820;1151;0;0;0;0;0;0;0;0;0;0;0;0;3025;0;0;728;0;0;0;0;0;0;441;1099;116999;50909;37193;5459;5451;9130;0;8857;1787;1056;973;75;0;0;0;0;0;114;0;0;17;0;0;4137;0;144;0;0;554;0;0;0
