Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
036;Rotenburg I – Soltau-Fallingbostel;NI;Urne;168573;104484;1524;102960;36893;41163;8279;7311;7401;0;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1212;103272;29024;35908;14399;8537;10078;0;1645;0;0;991;0;18;0;0;0;0;0;0;0;0;149;0;0;118;1964;441;0
037;Harburg;NI;Urne;191159;121476;1715;119761;37821;48129;12372;7964;10985;0;1711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;779;0;0;1371;120105;30349;39961;20078;9008;14620;0;1462;0;0;902;0;25;0;0;0;0;0;0;0;0;144;0;0;197;2540;819;0
038;Lüchow-Dannenberg – Lüneburg;NI;Urne;177098;107246;1443;105803;34002;34689;8865;10092;15462;0;1637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1056;0;0;1175;106071;27198;29636;13156;11107;18766;0;1397;0;0;790;0;30;0;0;0;0;0;0;0;0;111;0;0;152;2371;1357;0
039;Osnabrück-Land;NI;Urne;197143;122876;1514;121362;39901;53099;10917;7814;8395;0;1236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1241;121635;32869;46728;17719;8873;10967;0;1131;0;0;701;0;22;0;0;0;0;0;0;0;0;93;0;0;164;1995;373;0
040;Stadt Osnabrück;NI;Urne;192473;118750;1427;117323;40113;44153;11813;8584;11372;0;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;1248;117502;32471;38920;16174;10227;14943;0;753;0;0;732;0;13;0;0;0;0;0;0;0;0;80;0;0;169;2734;286;0
041;Nienburg II – Schaumburg;NI;Urne;198376;119921;1506;118415;49740;43341;7090;7632;8416;0;1824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;372;1249;118672;39777;37431;14608;9422;11375;0;1669;0;0;897;0;34;0;0;0;0;0;0;0;0;128;0;0;150;2166;1015;0
042;Stadt Hannover I;NI;Urne;180088;104744;1313;103431;41679;32897;7250;9067;10134;0;1553;0;0;0;0;147;0;0;0;0;0;0;0;0;0;704;0;0;1215;103529;33245;26235;12881;10357;14831;0;1485;0;0;911;0;74;0;0;0;0;0;0;0;0;94;0;0;132;2558;726;0
043;Stadt Hannover II;NI;Urne;190623;111717;1408;110309;44957;33789;6561;11065;12256;0;1361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;1226;110491;33738;25521;12238;12671;19470;0;1226;0;0;929;0;119;0;0;0;0;0;0;0;0;102;0;0;177;3655;645;0
044;Hannover-Land I;NI;Urne;232214;143306;1906;141400;55929;52590;11659;9583;9298;0;2341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1540;141766;44485;45813;19665;10755;13824;0;2032;0;0;1136;0;42;0;0;0;0;0;0;0;0;169;0;0;256;2742;847;0
045;Celle – Uelzen;NI;Urne;217316;131535;1778;129757;42861;56578;9319;8764;8682;0;2283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1270;0;0;1555;129980;36408;45337;18463;10174;12003;0;2087;0;0;972;0;35;0;0;0;0;0;0;0;0;158;0;0;153;2582;1608;0
046;Gifhorn – Peine;NI;Urne;216957;139032;1839;137193;56388;50101;8432;10390;7917;0;1822;0;0;0;741;0;0;0;0;0;0;0;0;0;0;1086;0;316;1695;137337;45833;45088;15190;11842;12056;0;1718;0;0;1106;0;36;0;0;0;0;0;0;0;0;137;0;0;144;2993;1194;0
047;Hameln-Pyrmont – Holzminden;NI;Urne;197394;116918;1931;114987;46614;39557;8162;10046;8635;0;1973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1739;115179;39390;32168;16034;10987;10787;0;1724;0;0;1034;0;43;0;0;0;0;0;0;0;0;128;0;0;102;2189;593;0
048;Hannover-Land II;NI;Urne;239450;149838;1959;147879;61003;52145;10475;10245;10116;0;2511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;999;0;385;1729;148109;49479;45255;17737;11916;15450;0;2227;0;0;1267;0;40;0;0;0;0;0;0;0;0;150;0;0;206;3050;1332;0
049;Hildesheim;NI;Urne;222804;140186;1957;138229;55483;49246;8299;10041;11870;0;2309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;981;0;0;1624;138562;46748;42546;15563;11798;14270;0;2175;0;0;1200;0;41;0;0;0;0;0;0;0;0;135;0;0;134;2745;1207;0
050;Salzgitter – Wolfenbüttel;NI;Urne;213208;132908;2205;130703;60033;41021;7697;11144;7404;0;2539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;865;0;0;1939;130969;46075;38715;13425;13753;11394;0;2271;0;0;1137;0;30;0;0;0;0;0;0;0;0;156;0;0;111;2474;1428;0
051;Braunschweig;NI;Urne;189975;108381;1439;106942;43132;35103;5537;8992;8783;0;1119;0;0;0;0;94;0;0;0;0;0;0;0;0;3352;0;0;830;1302;107079;32045;29399;11659;11473;15214;0;1150;0;0;858;0;67;0;0;0;0;0;0;0;0;111;0;0;132;4030;941;0
052;Helmstedt – Wolfsburg;NI;Urne;187831;113495;1936;111559;39718;43060;6797;8936;8771;0;2701;0;0;0;346;0;0;0;0;0;0;0;0;0;0;1230;0;0;1586;111909;36218;37122;11501;9892;9823;0;2353;0;0;980;0;42;0;0;0;0;0;0;0;0;90;0;0;83;2621;1184;0
053;Goslar – Northeim – Osterode;NI;Urne;214330;128676;2234;126442;51134;43104;10140;12032;7696;0;2336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1776;126900;43200;36234;17522;12944;10569;0;2113;0;0;1022;0;24;0;0;0;0;0;0;0;0;116;0;0;104;2400;652;0
054;Göttingen;NI;Urne;224468;133840;1873;131967;50455;44538;8241;10391;15973;0;2075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;294;1668;132172;40526;36735;17694;12225;18302;0;1870;0;0;960;0;47;0;0;0;0;0;0;0;0;101;0;0;146;3024;542;0
055;Bremen I;HB;Urne;256131;147207;2002;145205;51101;39843;10045;17615;23825;0;1716;0;0;0;0;289;0;0;0;0;0;0;0;0;0;0;0;771;1812;145395;42557;34316;15738;20575;24811;0;1332;214;0;0;366;113;0;0;0;0;0;0;0;0;333;0;0;0;3784;1256;0
056;Bremen II – Bremerhaven;HB;Urne;231847;130005;2225;127780;50578;32138;8751;18802;13640;0;2365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1169;0;337;2120;127885;42791;28134;12190;20358;16030;0;1846;294;0;0;349;65;0;0;0;0;0;0;0;0;602;0;0;0;3174;2052;0
057;Prignitz – Ostprignitz-Ruppin – Havelland I;BB;Urne;171705;94286;3288;90998;29406;19764;6916;28175;3647;0;3090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2887;91399;25858;21414;7736;26857;3740;0;2325;161;0;0;0;67;134;0;0;0;0;0;0;0;817;0;678;0;1612;0;0
058;Uckermark – Barnim I;BB;Urne;169284;91600;3167;88433;24325;22809;5466;28121;3444;0;3710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;2896;88704;23319;21148;6817;27330;3774;0;2941;178;0;0;0;89;152;0;0;0;0;0;0;0;716;0;566;0;1674;0;0
059;Oberhavel – Havelland II;BB;Urne;249983;144877;4556;140321;41340;38607;10798;34225;9704;0;4926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;3887;140990;36549;34433;16164;33068;10470;0;3784;429;0;0;0;141;304;0;0;0;0;0;0;0;1201;0;1068;0;3379;0;0
060;Märkisch-Oderland – Barnim II;BB;Urne;255165;146657;4300;142357;32638;33855;9280;52039;6513;0;5615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2417;4103;142554;31134;30706;12990;47358;8202;0;4038;383;0;0;0;163;271;0;0;0;0;0;0;0;2009;0;1433;0;3867;0;0
061;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;BB;Urne;199083;111320;3337;107983;35702;26518;6239;30807;3870;0;3494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1353;3460;107860;30157;25549;8594;30892;4930;0;2785;156;0;0;0;125;168;0;0;0;0;0;0;0;1087;0;679;0;2738;0;0
062;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;BB;Urne;239221;139386;3864;135522;39596;32410;9600;38878;12268;0;2770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3180;136206;36022;28727;14274;34734;14001;0;1934;226;0;0;0;170;284;0;0;0;0;0;0;0;858;0;703;0;4273;0;0
063;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;BB;Urne;246651;143648;5132;138516;45314;34318;9892;36327;7131;0;5534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4372;139276;36485;32671;13496;37652;7883;0;4370;326;0;0;0;133;321;0;0;0;0;0;0;0;1152;0;1106;0;3681;0;0
064;Frankfurt (Oder) – Oder-Spree;BB;Urne;208525;118009;4142;113867;32569;25696;8412;36642;5996;0;4552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3365;114644;27895;25616;10197;35769;6018;0;3482;351;0;0;0;162;312;0;0;0;0;0;0;0;991;0;921;0;2930;0;0
065;Cottbus – Spree-Neiße;BB;Urne;196389;105988;3876;102112;28727;24755;8761;30345;4399;0;4345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;3257;102731;24962;25073;9203;29784;4709;0;3392;308;0;0;0;133;215;0;0;0;0;0;0;0;1059;0;859;0;3034;0;0
066;Elbe-Elster – Oberspreewald-Lausitz II;BB;Urne;192709;109837;4442;105395;28492;30429;7218;29878;3116;0;5050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;748;464;3831;106006;24469;28985;9235;29755;3476;0;3515;251;0;0;0;115;216;0;0;0;0;0;0;0;2236;0;1159;0;2594;0;0
067;Altmark;ST;Urne;182677;100320;2383;97937;19517;30455;5730;33131;3106;0;2323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3675;2558;97762;17293;29282;8574;33363;4327;0;2162;0;0;0;0;196;0;0;0;0;0;0;0;0;430;0;0;0;2135;0;0
068;Börde – Jerichower Land;ST;Urne;239481;130188;3180;127008;28207;41572;12184;36984;4199;0;3252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;610;3028;127160;22687;39805;13627;39346;5126;0;2861;0;0;0;0;292;0;0;0;0;0;0;0;0;435;0;0;0;2981;0;0
069;Harz;ST;Urne;236946;124271;2857;121414;24469;40006;8725;38333;6265;0;3616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2495;121776;20697;37816;11504;39754;5798;0;3072;0;0;0;0;268;0;0;0;0;0;0;0;0;318;0;0;0;2549;0;0
070;Magdeburg;ST;Urne;254287;126134;2585;123549;26633;38225;7989;40626;6513;0;2380;0;0;0;0;530;0;0;0;0;0;0;0;0;0;0;0;653;2322;123812;22862;34116;11430;40894;7974;0;2069;0;0;0;0;340;0;0;0;0;0;0;0;0;267;0;0;0;3860;0;0
071;Dessau – Wittenberg;ST;Urne;197289;106222;2132;104090;19027;37229;7545;32267;4099;0;2692;0;0;0;0;482;0;0;0;0;0;0;0;0;0;0;0;749;1954;104268;17049;32572;10920;33066;4961;0;2416;0;0;0;0;268;0;0;0;0;0;0;0;0;395;0;0;0;2621;0;0
