Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03254;Hildesheim;222804;167520;2201;165319;64555;60376;10231;11402;14856;0;2606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1293;0;0;1802;165718;54487;52747;18752;13429;17360;0;2452;0;0;1405;0;52;0;0;0;0;0;0;0;0;152;0;0;171;3191;1520;0
NI;03255;Holzminden;60318;43891;806;43085;17569;15612;2970;3251;3049;0;634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;43164;15081;11397;7263;3663;3854;0;538;0;0;393;0;24;0;0;0;0;0;0;0;0;36;0;0;34;686;195;0
NI;03256;Nienburg (Weser);96647;67324;796;66528;25492;26050;4622;4005;5169;0;1045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;720;66604;20519;23496;8404;4875;6172;0;983;0;0;463;0;14;0;0;0;0;0;0;0;0;55;0;0;57;1075;491;0
NI;03257;Schaumburg;126919;93892;1131;92761;39142;34059;5675;5960;6286;0;1217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422;852;93040;31402;28693;11784;7288;9134;0;1090;0;0;743;0;31;0;0;0;0;0;0;0;0;111;0;0;143;1655;966;0
NI;03351;Celle;140679;101153;1239;99914;31777;46102;7682;6039;5818;0;1775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;0;0;1053;100100;27058;37043;15063;7143;8426;0;1619;0;0;717;0;29;0;0;0;0;0;0;0;0;119;0;0;111;1903;869;0
NI;03352;Cuxhaven;159889;115418;1607;113811;43274;43165;8769;9079;7198;0;1527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799;1357;114061;34524;39053;14453;10552;10392;0;1293;0;0;937;0;20;0;0;0;0;0;0;0;0;211;0;0;152;1644;830;0
NI;03353;Harburg;191159;148918;1976;146942;45002;59657;15812;9611;13772;0;1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1153;0;0;1552;147366;36139;50104;24967;10825;18002;0;1636;0;0;1132;0;33;0;0;0;0;0;0;0;0;177;0;0;238;2963;1150;0
NI;03354;Lüchow-Dannenberg;40462;29245;431;28814;8808;8921;3067;3097;4331;0;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;0;0;361;28884;6688;8251;3175;3435;5971;0;287;0;0;236;0;8;0;0;0;0;0;0;0;0;35;0;0;49;449;300;0
NI;03355;Lüneburg;136636;102221;1264;100957;31603;34308;8175;8838;15314;0;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1211;0;0;1005;101216;25633;29040;13148;9731;17572;0;1307;0;0;766;0;24;0;0;0;0;0;0;0;0;100;0;0;145;2346;1404;0
NI;03356;Osterholz;88697;67126;769;66357;23824;23231;5523;6702;6065;0;1012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605;66521;19816;20324;8407;7219;7734;0;834;0;0;566;0;13;0;0;0;0;0;0;0;0;94;0;0;70;1024;420;0
NI;03357;Rotenburg (Wümme);128089;93887;1200;92687;29563;41140;7416;5862;7104;0;1354;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;103;972;92915;24333;34525;13794;6736;9157;0;1181;0;0;712;0;24;0;0;0;0;0;0;0;0;114;0;0;100;1726;513;0
NI;03358;Soltau-Fallingbostel;109239;78670;1061;77609;28331;30854;6180;5467;5256;0;1521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;844;77826;21948;27597;10601;6410;7286;0;1313;0;0;805;0;13;0;0;0;0;0;0;0;0;112;0;0;95;1266;380;0
NI;03359;Stade;153370;111904;1426;110478;38559;46874;7902;7361;7331;0;1913;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;376;1152;110752;30901;39159;15284;8522;11458;0;1666;0;0;789;0;36;0;0;0;0;0;0;0;0;95;0;0;129;2057;656;0
NI;03360;Uelzen;76637;55984;752;55232;18330;22470;3669;4091;4983;0;726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;963;0;0;648;55336;15344;18350;7232;4622;6344;0;672;0;0;413;0;11;0;0;0;0;0;0;0;0;61;0;0;79;1054;1154;0
