# (c) Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021), einschließlich der Wiederholung der Wahl in Teilen Berlins (11.02.2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern (aktualisiert am 26. September 2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige
3;Niedersachsen;E;Urne;6105381;3029057;33697;2995360;870612;1067373;228214;236191;96590;388448;0;33295;8917;16207;0;6476;971;308;0;0;0;477;0;0;370;0;0;155;0;0;0;37284;0;0;0;0;0;1107;0;0;0;0;0;0;0;0;0;0;0;0;0;2365
3;Niedersachsen;E;Brief;0;1534085;10873;1523212;452458;536412;63818;111611;46195;258400;0;14171;7664;9253;0;3361;740;322;0;0;0;273;0;0;153;0;0;132;0;0;0;15301;0;0;0;0;0;700;0;0;0;0;0;0;0;0;0;0;0;0;0;2248
3;Niedersachsen;Z;Zusammen;6105381;4563142;39921;4523221;1093579;1498500;336434;474638;148657;726613;0;37214;40158;57931;4379;16955;3484;3283;0;0;0;808;0;0;1020;0;0;3806;0;2625;0;46369;0;0;0;0;0;1306;0;0;0;13565;0;11897;0;0;0;0;0;0;0;0
3;Niedersachsen;Z;Urne;6105381;3029057;32419;2996638;717159;997249;262108;318912;100304;437554;0;23298;27695;36865;3245;11719;2111;1753;0;0;0;541;0;0;630;0;0;2555;0;1513;0;32745;0;0;0;0;0;760;0;0;0;10662;0;7260;0;0;0;0;0;0;0;0
3;Niedersachsen;Z;Brief;0;1534085;7502;1526583;376420;501251;74326;155726;48353;289059;0;13916;12463;21066;1134;5236;1373;1530;0;0;0;267;0;0;390;0;0;1251;0;1112;0;13624;0;0;0;0;0;546;0;0;0;2903;0;4637;0;0;0;0;0;0;0;0
4;Bremen;E;Zusammen;459749;330431;3374;327057;67992;108432;21565;22398;25923;60490;0;3652;5464;2440;0;908;713;609;0;0;0;266;0;0;0;0;0;1016;0;0;0;4007;0;0;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;0;0;0;0
4;Bremen;E;Urne;459749;178065;2453;175612;33531;59129;15663;12563;14466;29044;0;1974;3165;1221;0;512;316;326;0;0;0;152;0;0;0;0;0;568;0;0;0;2487;0;0;0;0;0;0;0;0;0;0;0;495;0;0;0;0;0;0;0;0
4;Bremen;E;Brief;0;152366;921;151445;34461;49303;5902;9835;11457;31446;0;1678;2299;1219;0;396;397;283;0;0;0;114;0;0;0;0;0;448;0;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;687;0;0;0;0;0;0;0;0
4;Bremen;Z;Zusammen;459749;330431;2391;328040;56499;103224;22575;30481;25352;68427;0;2911;3909;4517;291;0;407;515;0;0;0;160;0;386;0;0;0;589;0;0;0;3461;0;0;0;0;0;0;0;0;0;3014;0;1322;0;0;0;0;0;0;0;0
4;Bremen;Z;Urne;459749;178065;1826;176239;28186;55349;16258;16510;14176;33038;0;1527;2284;2503;178;0;191;268;0;0;0;97;0;238;0;0;0;336;0;0;0;2161;0;0;0;0;0;0;0;0;0;2289;0;650;0;0;0;0;0;0;0;0
4;Bremen;Z;Brief;0;152366;565;151801;28313;47875;6317;13971;11176;35389;0;1384;1625;2014;113;0;216;247;0;0;0;63;0;148;0;0;0;253;0;0;0;1300;0;0;0;0;0;0;0;0;0;725;0;672;0;0;0;0;0;0;0;0
12;Brandenburg;E;Zusammen;2048844;1549464;21706;1527758;283668;437753;279978;121094;142628;120005;0;47029;27429;6735;0;5848;4499;0;0;0;0;304;0;0;1785;0;0;458;0;0;0;26766;0;0;0;0;0;0;0;0;0;0;7339;1004;0;0;0;1817;0;0;0;11619
12;Brandenburg;E;Urne;2048844;1009255;16789;992466;178860;276770;217980;77241;85623;67447;0;28691;17519;4220;0;3764;2586;0;0;0;0;179;0;0;946;0;0;258;0;0;0;18253;0;0;0;0;0;0;0;0;0;0;4740;531;0;0;0;1011;0;0;0;5847
12;Brandenburg;E;Brief;0;540209;4917;535292;104808;160983;61998;43853;57005;52558;0;18338;9910;2515;0;2084;1913;0;0;0;0;125;0;0;839;0;0;200;0;0;0;8513;0;0;0;0;0;0;0;0;0;0;2599;473;0;0;0;806;0;0;0;5772
12;Brandenburg;Z;Zusammen;2048844;1549464;19821;1529643;233891;450573;277412;142426;129762;137472;0;40509;19199;39823;4868;6340;2835;0;0;0;0;842;0;0;1978;0;0;1892;0;0;0;23062;0;0;0;0;0;0;0;0;0;3353;9113;4293;0;0;0;0;0;0;0;0
12;Brandenburg;Z;Urne;2048844;1009255;15767;993488;148580;279731;215461;90796;79386;77725;0;25095;12646;25984;3750;4218;1663;0;0;0;0;486;0;0;1109;0;0;1162;0;0;0;15883;0;0;0;0;0;0;0;0;0;1934;5286;2593;0;0;0;0;0;0;0;0
12;Brandenburg;Z;Brief;0;540209;4054;536155;85311;170842;61951;51630;50376;59747;0;15414;6553;13839;1118;2122;1172;0;0;0;0;356;0;0;869;0;0;730;0;0;0;7179;0;0;0;0;0;0;0;0;0;1419;3827;1700;0;0;0;0;0;0;0;0
15;Sachsen-Anhalt;E;Zusammen;1789775;1214761;14583;1200178;299363;293197;242065;96084;127576;64326;0;32152;4416;1969;0;0;302;0;0;0;7371;620;0;0;0;0;0;0;2095;0;0;22554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6088
15;Sachsen-Anhalt;E;Urne;1789775;799693;11141;788552;190798;181830;191285;61920;78554;34437;0;20817;2669;1262;0;0;133;0;0;0;4266;340;0;0;0;0;0;0;1121;0;0;15921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3199
15;Sachsen-Anhalt;E;Brief;0;415068;3442;411626;108565;111367;50780;34164;49022;29889;0;11335;1747;707;0;0;169;0;0;0;3105;280;0;0;0;0;0;0;974;0;0;6633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2889
15;Sachsen-Anhalt;Z;Zusammen;1789775;1214761;12821;1201940;252286;305085;235492;114024;115330;78701;0;22509;9763;14483;3002;4067;846;0;0;0;13672;1042;0;0;0;0;0;1415;7611;1302;0;19213;0;0;0;0;0;0;0;0;0;0;0;2097;0;0;0;0;0;0;0;0
15;Sachsen-Anhalt;Z;Urne;1789775;799693;10408;789285;161911;188596;186098;72793;71000;42041;0;14187;6525;9945;2313;2812;477;0;0;0;8427;614;0;0;0;0;0;909;4821;689;0;13915;0;0;0;0;0;0;0;0;0;0;0;1212;0;0;0;0;0;0;0;0
15;Sachsen-Anhalt;Z;Brief;0;415068;2413;412655;90375;116489;49394;41231;44330;36660;0;8322;3238;4538;689;1255;369;0;0;0;5245;428;0;0;0;0;0;506;2790;613;0;5298;0;0;0;0;0;0;0;0;0;0;0;885;0;0;0;0;0;0;0;0
11;Berlin;E;Zusammen;2460618;1709738;27619;1682119;339234;366569;151449;106292;238776;346880;0;12134;35579;47131;0;4531;2965;0;0;0;0;1122;805;301;0;1962;0;1097;0;370;0;16770;0;0;0;200;0;1726;0;0;0;2326;0;2044;0;192;251;0;0;0;0;1413
11;Berlin;E;Urne;2460618;905488;19728;885760;163312;193752;102339;56948;126314;170614;0;6241;19536;25460;0;2419;1353;0;0;0;0;647;388;158;0;1014;0;556;0;168;0;10259;0;0;0;101;0;838;0;0;0;1703;0;847;0;87;99;0;0;0;0;607
11;Berlin;E;Brief;0;804250;7891;796359;175922;172817;49110;49344;112462;176266;0;5893;16043;21671;0;2112;1612;0;0;0;0;475;417;143;0;948;0;541;0;202;0;6511;0;0;0;99;0;888;0;0;0;623;0;1197;0;105;152;0;0;0;0;806
11;Berlin;Z;Zusammen;2460618;1709738;26793;1682945;289140;374413;159025;136998;194010;370735;0;14953;27199;43598;1766;6580;2613;1178;0;0;0;750;4297;0;2187;17304;665;3235;0;2512;428;0;0;0;0;0;0;1401;0;0;0;17487;0;10471;0;0;0;0;0;0;0;0
11;Berlin;Z;Urne;2460618;905488;19583;885905;138935;193545;107066;71069;104201;181729;0;8374;15153;24344;1187;3831;1254;506;0;0;0;423;2227;0;1132;8603;374;1833;0;1193;257;0;0;0;0;0;0;693;0;0;0;12778;0;5198;0;0;0;0;0;0;0;0
11;Berlin;Z;Brief;0;804250;7210;797040;150205;180868;51959;65929;89809;189006;0;6579;12046;19254;579;2749;1359;672;0;0;0;327;2070;0;1055;8701;291;1402;0;1319;171;0;0;0;0;0;0;708;0;0;0;4709;0;5273;0;0;0;0;0;0;0;0
5;Nordrhein-Westfalen;E;Zusammen;13040267;9960984;92465;9868519;2973458;3068628;705020;851337;317869;1500696;0;97782;170191;11068;0;6629;1394;454;0;0;0;5894;0;0;2285;0;0;488;0;0;0;111606;1405;0;0;0;873;1064;0;0;0;0;1020;24138;1086;0;0;0;0;0;0;14134
5;Nordrhein-Westfalen;E;Urne;13040267;5163614;60480;5103134;1462714;1586411;481837;454394;183081;700271;0;45660;91182;5236;0;3359;626;198;0;0;0;3471;0;0;1163;0;0;268;0;0;0;66021;814;0;0;0;379;459;0;0;0;0;403;9224;324;0;0;0;0;0;0;5639
5;Nordrhein-Westfalen;E;Brief;0;4797370;31985;4765385;1510744;1482217;223183;396943;134788;800425;0;52122;79009;5832;0;3270;768;256;0;0;0;2423;0;0;1122;0;0;220;0;0;0;45585;591;0;0;0;494;605;0;0;0;0;617;14914;762;0;0;0;0;0;0;8495
5;Nordrhein-Westfalen;Z;Zusammen;13040267;9960984;72954;9888030;2566719;2880226;717510;1130154;366947;1587067;0;64990;108504;136195;8956;36789;8052;6628;0;0;0;3476;11673;0;2556;0;0;7685;0;4729;971;99217;10128;0;0;0;12967;2298;3228;9189;0;65137;0;36039;0;0;0;0;0;0;0;0
5;Nordrhein-Westfalen;Z;Urne;13040267;5163614;51006;5112608;1271415;1455591;491158;582580;207005;745039;0;30989;59461;72025;5707;21129;4210;2836;0;0;0;2308;5621;0;1394;0;0;4357;0;2081;607;60704;5775;0;0;0;7820;1174;1701;3827;0;48553;0;17541;0;0;0;0;0;0;0;0
5;Nordrhein-Westfalen;Z;Brief;0;4797370;21948;4775422;1295304;1424635;226352;547574;159942;842028;0;34001;49043;64170;3249;15660;3842;3792;0;0;0;1168;6052;0;1162;0;0;3328;0;2648;364;38513;4353;0;0;0;5147;1124;1527;5362;0;16584;0;18498;0;0;0;0;0;0;0;0
14;Sachsen;E;Zusammen;3253667;2488954;29375;2459579;546282;410769;632881;220062;282800;171384;0;66591;37538;0;0;5628;10224;1142;0;0;0;1081;1366;0;0;0;210;2232;0;0;0;45593;2546;0;515;0;0;1795;0;0;0;0;0;0;0;0;0;0;0;0;0;18940
14;Sachsen;E;Urne;3253667;1644219;22395;1621824;347787;250931;501733;140685;167774;89299;0;42395;23657;0;0;2968;5667;637;0;0;0;608;735;0;0;0;124;1220;0;0;0;31548;1686;0;389;0;0;1073;0;0;0;0;0;0;0;0;0;0;0;0;0;10908
14;Sachsen;E;Brief;0;844735;6980;837755;198495;159838;131148;79377;115026;82085;0;24196;13881;0;0;2660;4557;505;0;0;0;473;631;0;0;0;86;1012;0;0;0;14045;860;0;126;0;0;722;0;0;0;0;0;0;0;0;0;0;0;0;0;8032
14;Sachsen;Z;Zusammen;3253667;2488954;26057;2462897;422879;474804;607044;271166;230012;212320;0;56654;31905;47939;7469;10433;6056;2464;0;0;0;1562;12052;0;1725;0;0;4003;0;0;0;38090;7129;0;4288;0;0;0;0;0;0;6229;0;6674;0;0;0;0;0;0;0;0
14;Sachsen;Z;Urne;3253667;1644219;21052;1623167;270064;289204;480549;175058;137590;111678;0;35584;20664;31647;5823;6798;3408;1312;0;0;0;957;7490;0;987;0;0;2498;0;0;0;26535;4574;0;3390;0;0;0;0;0;0;3483;0;3874;0;0;0;0;0;0;0;0
14;Sachsen;Z;Brief;0;844735;5005;839730;152815;185600;126495;96108;92422;100642;0;21070;11241;16292;1646;3635;2648;1152;0;0;0;605;4562;0;738;0;0;1505;0;0;0;11555;2555;0;898;0;0;0;0;0;0;2746;0;2800;0;0;0;0;0;0;0;0
6;Hessen;E;Zusammen;4383047;3340639;44706;3295933;909147;1000129;285337;315712;130457;480535;0;81432;22769;0;0;4917;0;0;0;0;0;969;0;0;233;0;123;472;0;0;0;47736;1353;0;0;172;0;103;0;0;0;0;951;7725;0;0;0;0;0;0;0;5661
6;Hessen;E;Urne;4383047;1634497;25290;1609207;417599;480269;185078;159880;70530;209792;0;35602;12024;0;0;2538;0;0;0;0;0;568;0;0;126;0;66;221;0;0;0;28441;673;0;0;81;0;58;0;0;0;0;951;3096;0;0;0;0;0;0;0;1614
6;Hessen;E;Brief;0;1706142;19416;1686726;491548;519860;100259;155832;59927;270743;0;45830;10745;0;0;2379;0;0;0;0;0;401;0;0;107;0;57;251;0;0;0;19295;680;0;0;91;0;45;0;0;0;0;0;4629;0;0;0;0;0;0;0;4047
6;Hessen;Z;Zusammen;4383047;3340639;39829;3300810;753512;910035;290978;421621;142585;521411;0;56155;29569;49047;4511;13152;3683;3128;0;0;0;906;4891;0;1294;0;0;3551;0;0;0;43106;4412;0;0;1166;0;932;0;0;0;21897;0;19268;0;0;0;0;0;0;0;0
6;Hessen;Z;Urne;4383047;1634497;25318;1609179;345702;428379;188228;208175;76398;226643;0;24181;15793;23629;2723;7196;1733;1244;0;0;0;564;2258;0;675;0;0;1897;0;0;0;26076;2274;0;0;483;0;462;0;0;0;16214;0;8252;0;0;0;0;0;0;0;0
6;Hessen;Z;Brief;0;1706142;14511;1691631;407810;481656;102750;213446;66187;294768;0;31974;13776;25418;1788;5956;1950;1884;0;0;0;342;2633;0;619;0;0;1654;0;0;0;17030;2138;0;0;683;0;470;0;0;0;5683;0;11016;0;0;0;0;0;0;0;0
16;Thüringen;E;Zusammen;1707726;1279720;16639;1263081;264026;299024;298971;89008;155618;68185;0;31190;22882;0;0;1313;2715;0;0;0;0;3875;0;0;0;0;0;0;0;0;0;19932;0;0;0;0;0;338;0;0;0;0;0;0;0;0;0;0;961;0;549;4494
16;Thüringen;E;Urne;1707726;864968;12666;852302;175388;187419;236970;60920;95723;37242;0;20198;15242;0;0;900;1599;0;0;0;0;2450;0;0;0;0;0;0;0;0;0;13969;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;610;0;316;3138
16;Thüringen;E;Brief;0;414752;3973;410779;88638;111605;62001;28088;59895;30943;0;10992;7640;0;0;413;1116;0;0;0;0;1425;0;0;0;0;0;0;0;0;0;5963;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;351;0;233;1356
16;Thüringen;Z;Zusammen;1707726;1279720;14809;1264911;213414;296446;303233;114283;144693;83220;0;27151;16013;18973;4103;6291;2456;1052;0;0;0;2570;0;3400;0;0;0;1357;0;0;0;20189;0;0;0;0;0;0;0;0;0;2501;0;3566;0;0;0;0;0;0;0;0
16;Thüringen;Z;Urne;1707726;864968;11811;853157;140255;185209;240645;77700;89240;46025;0;17533;10938;13073;3240;4375;1394;580;0;0;0;1679;0;2174;0;0;0;877;0;0;0;14477;0;0;0;0;0;0;0;0;0;1502;0;2241;0;0;0;0;0;0;0;0
16;Thüringen;Z;Brief;0;414752;2998;411754;73159;111237;62588;36583;55453;37195;0;9618;5075;5900;863;1916;1062;472;0;0;0;891;0;1226;0;0;0;480;0;0;0;5712;0;0;0;0;0;0;0;0;0;999;0;1325;0;0;0;0;0;0;0;0
7;Rheinland-Pfalz;E;Zusammen;3053335;2357021;31352;2325669;686825;697183;205790;193360;84143;247246;0;116525;21564;9487;0;1118;8062;0;0;0;0;157;0;0;294;0;0;486;0;0;0;31791;0;0;0;0;0;573;0;0;0;0;1140;10420;0;0;0;0;0;0;0;9505
7;Rheinland-Pfalz;E;Urne;3053335;922497;15419;907078;239967;264248;119899;80463;35646;85641;0;41493;9456;3173;0;433;2676;0;0;0;0;82;0;0;124;0;0;187;0;0;0;16330;0;0;0;0;0;209;0;0;0;0;356;3833;0;0;0;0;0;0;0;2862
