(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;913;205056;209348;205056;209348;160586;143622;160586;143622;2160;3021;1427;2824;158426;140601;159159;140798;31000;43730;18161;42049;30810;29950;28480;26402;3370;7573;5363;7179;4313;9825;4631;10609;65039;30320;63397;29421;;;;;16949;14494;16377;14434;3583;4264;1630;2455;;;1974;2468;;;;2305;;;;984;;;;267;;;;443;;;584;210;;;;245;;;;;;;;;;;;140;;;;;;;;;;445;96;163;;;;;;;;;;;;;;;;;3362;;727;;;;17739;;;;;;;;;;;0;;1024
913;Mecklenburg-Vorpommern;999;1294729;1314435;1294729;1314435;1029038;935040;1029038;935040;11315;16954;7796;16181;1017723;918086;1021242;918859;179547;261408;126687;267368;205786;180669;181956;160103;36898;62664;54719;71956;29339;66328;32678;75555;376846;169977;357361;165342;;;;;144778;116033;123059;101735;27571;17781;10814;13344;6199;14324;15656;20582;;16019;;16336;;3692;;7900;;;;2146;;3812;;4259;;;6350;1904;;;;1189;;;;;;;;;;;;1277;;;;;;;;;1284;1270;842;709;;;;;;;;;;;;;;;;;6839;;3248;;;;107872;;;;;;;;;;2636;4109;;7154
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Hamburg-Mitte;902;243955;242078;243955;242078;189443;179637;189443;179637;1649;1439;1087;1082;187794;178198;188356;178555;51554;59229;41788;51170;31834;23231;29570;19982;40350;46326;38160;49791;6541;14424;7756;18723;19903;8664;19821;9100;;;;;31019;16195;35781;15593;1468;1340;655;974;;;1839;2486;;2940;;2396;;4251;1066;2494;;;;2019;;;;905;4689;;3020;1137;;704;;370;;;;;;;;;;;;275;;;;;;;;;436;194;128;70;;;;;;;;;;;;;;;;;;;243;;;;8529;;;;;;;;;;;700;;1070
19;Hamburg-Altona;902;188984;187705;188984;187705;158855;152720;158855;152720;1211;837;669;625;157644;151883;158186;152095;36941;43427;32518;38865;33415;25441;30874;22478;43372;45063;37470;46162;5283;12380;7381;16543;11911;5191;11602;5036;;;;;25285;14716;28476;13667;1029;756;362;524;;;1135;1405;;2619;;2237;;;603;1593;;;;1054;;1351;;571;;;2263;886;;571;;246;;;;;;;;;;;;129;;;;;;;;;408;209;102;84;;;;;;;;;;;;;;;;;;;155;;;;5245;;;;;;;;;;;159;;615
20;Hamburg-Eimsbüttel;902;194730;193823;194730;193823;165712;160970;165712;160970;1120;931;649;605;164592;160039;165063;160365;42765;47375;36923;44911;34521;27462;33383;23843;45674;47734;39401;47983;6578;12957;8103;18190;12752;5450;12524;5662;;;;;20739;11351;23968;10847;1563;998;476;761;;;1322;1682;;2400;;1895;;2334;630;1358;;;;850;;;;500;;1391;2705;906;;450;;235;;;;;;;;;;;;149;;;;;;;;;;137;66;47;;;;;;;;;;;;;;;;;;;167;;;;5395;;;;;;;;;;;0;;546
21;Hamburg-Nord;902;222169;219909;222169;219909;190250;185457;190250;185457;1133;1234;678;766;189117;184223;189572;184691;50363;56594;42706;51575;53108;43870;49442;34387;42875;47375;39946;46531;7028;15786;11096;26247;15271;6259;15780;6811;;;;;14921;9095;19320;8741;1376;1540;589;939;;;1502;1893;;3258;;2535;;;624;1443;;;;875;;;;606;4175;;2635;948;;;;292;;;;;;;;;;;;182;;;;;;;;;;174;47;48;;;;;;;;;;;;;;;;;;;179;;;;5706;;;;;;;;;;;272;;638
22;Hamburg-Wandsbek;902;230501;233483;230501;233483;179963;174014;179963;174014;1678;1678;998;1193;178285;172336;178965;172821;57629;66616;44511;59298;43981;33085;39959;29103;23211;26599;25967;32134;5707;15755;7341;19225;25894;11490;25279;11290;;;;;18956;10629;20522;8852;2458;;930;1084;;;2163;2561;;3054;;2481;;;827;1615;;;;1871;;2068;;1048;;1834;2649;812;;880;;427;;;;;;;;;;;;235;;;;;;;;;449;117;80;49;;;;;;;;;;;;;;;;;;;253;;;;8484;;;;;;;;;;;209;;736
23;Hamburg-Bergedorf – Harburg;902;218950;221794;218950;221794;166582;158246;166582;158246;1716;1601;1104;1229;164866;156645;165478;157017;53073;61590;39294;52523;35208;26483;33707;25427;19139;24231;20769;27931;4162;13301;5438;15674;28983;12774;28602;12638;;;;;19075;10521;23048;9878;1820;2109;854;1319;;;1774;2298;;2988;;2417;;;768;1644;;;;2283;;;;747;3057;1251;2277;740;;1061;;446;;;;;;;;;;;;233;;;;;;;;;349;131;105;50;;;;;;;;;;;;;;;;;;;282;;;;8560;;;;;;;;;;;205;;769
902;Hamburg;999;1299289;1298792;1299289;1298792;1050805;1011044;1050805;1011044;8507;7720;5185;5500;1042298;1003324;1045620;1005544;292325;334831;237740;298342;232067;179572;216935;155220;214621;237328;201713;250532;35299;84603;47115;114602;114714;49828;113608;50537;;;;;129995;72507;151115;67578;9714;6743;3866;5601;;;9735;12325;;17259;;13961;;6585;4518;10147;;;;8952;;3419;;4377;11921;4476;15549;5429;;3666;;2016;;;;;;;;;;;;1203;;;;;;;;;1642;962;528;348;;;;;;;;;;;;;;;;;;;1279;;;;41919;;;;;;;;;;;1545;;4374
