(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
912;Brandenburg;999;2033539;2048844;2033539;2048844;1658681;1549464;1658681;1549464;16488;21706;11343;19821;1642193;1527758;1647338;1529643;337040;437753;244010;450573;332331;283668;298048;233891;86006;120005;108598;137472;44451;121094;53467;142426;565718;279978;535275;277412;;;;;189182;142628;176224;129762;53057;47029;23969;40509;;6735;;39823;;26766;;23062;15439;27429;14706;19199;;;;3353;;5848;;6340;10687;1004;11370;4293;;4499;;2835;;;;;;;;;;458;;1892;;;;;;;;;;304;1119;842;;;;;;;;;;;;;;;;;3564;;4147;;;;176405;;;;;;;;;;4718;22560;;15959
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Altmark – Jerichower Land;915;227996;234872;227996;234872;178476;159806;178476;159806;2270;1943;1310;1705;176206;157863;177166;158101;28276;43047;20660;43232;38820;36724;34164;33916;4852;6803;5917;8476;6047;12748;5369;13876;69054;30498;66175;30225;;;;;22147;15676;18648;14807;7010;6728;2844;4151;;791;;1824;;2904;;2764;;;1294;1133;;;;;;;;456;;;909;233;;;;80;;;;;;;;;;;;146;;;;;;;;;;;142;112;;;;;;;;;;;;;;;;;;;459;;;;20585;;;;;;;;;;;1944;;2670
67;Börde – Salzlandkreis;915;217023;223295;217023;223295;170433;149905;170433;149905;2228;1935;1471;1694;168205;147970;168962;148211;22895;34994;17573;37489;37609;36089;32353;32560;3745;5625;4462;6516;4608;12252;4942;14017;72651;32738;70160;32075;;;;;17753;16675;15342;13615;4738;3971;2199;2714;;1178;;1938;;2176;;2020;;;1148;1038;;;;;;;;429;;;809;189;;;;84;;;;;;;;;;;;152;;;;;;;;;;;118;108;;;;;;;;;;;;;;;;;2365;;796;;;;19060;;;;;;;;;;1841;2272;;3267
68;Harz;915;200219;207942;200219;207942;154033;138572;154033;138572;2012;1728;1211;1522;152021;136844;152822;137050;21243;34812;17598;37330;35708;37884;29904;30508;4958;6320;5858;7495;3405;10064;4178;12532;59302;24947;56490;24790;;;;;18076;14413;15487;12700;4379;4972;2179;2840;;;;1736;;3160;;2621;2332;;1528;934;;;;;;;;435;;;721;178;;;;78;;;;;;;;;;;;129;;;;;;;;;;;98;91;;;;;;;;;;;;;;;;;2618;;821;;;;17960;;;;;;;;;;;272;;2653
69;Magdeburg;915;222983;229198;222983;229198;174468;156789;174468;156789;2420;1497;1241;1405;172048;155292;173227;155384;29617;39233;21865;41022;39726;34177;32205;28700;10305;14381;12271;16352;4647;12139;5231;14673;55457;23398;52629;23446;;;;;25560;15137;23224;16449;3984;2430;1793;2060;;;;1464;;2247;;2021;;2081;1769;1737;;;;;;;;654;;;1901;578;;302;;192;;;;;;;;;;;;282;;;;;;;;;843;221;240;173;;;;;;;;;;;;;;;;;1909;;639;;;;19460;;;;;;;;;;;9546;;5581
70;Anhalt – Dessau – Wittenberg;915;227853;236539;227853;236539;176302;158740;176302;158740;1984;1974;1280;1742;174318;156766;175022;156998;18255;31881;18383;40710;51474;48366;37580;35648;8426;9203;6829;8410;3715;10937;5113;14285;67245;32723;65551;31264;;;;;17745;14580;16654;13730;7458;5195;3270;3608;;;;1905;;2696;;2246;;;1296;1152;;;;;;;;553;;;861;202;;;;64;;;;;;;;;;;;146;;;;;;;;;;;128;122;;;;;;;;;;;;;;;;;;;406;;;;18951;;;;;;;;;;;1185;;2953
71;Halle;915;224552;229809;224552;229809;173599;162935;173599;162935;2109;1726;1321;1552;171490;161209;172278;161383;30798;45274;20794;37952;38174;33934;31132;29727;9366;12989;15182;20459;5045;13021;6059;16508;52546;25956;49347;25077;;;;;27804;20708;26440;18275;2866;4015;1616;2795;;;;2048;;2449;;2199;2806;2335;1753;1689;;;;;;;;713;;;1660;385;;;;200;;;;;;;;;;;;295;;;;;;;;;496;399;192;205;;;;;;;;;;;;;;;;;1589;;557;;;;17546;;;;;;;;;;;129;;2856
72;Burgenland – Saalekreis;915;203597;210378;203597;210378;157343;142699;157343;142699;1753;1785;1126;1456;155590;140914;156217;141243;15653;31258;14170;32444;37721;36495;29391;29898;3752;4945;4584;5885;4612;13161;5128;14415;69074;36270;66137;34824;;;;;17034;14027;13524;12098;6315;502;2381;1891;;;;1764;;4256;;3035;;;1262;1135;;;;;;;;453;;;1010;195;;;;92;;;;;;;;;;;;144;;;;;;;;;;;109;118;;;;;;;;;;;;;;;;;;;418;;;;18103;;;;;;;;;;1429;0;;2852
73;Mansfeld;915;210496;217742;210496;217742;163183;145315;163183;145315;2517;1995;1528;1745;160666;143320;161655;143570;17214;32698;15492;34906;34087;35694;29809;31329;3195;4060;3974;5108;5524;11762;5231;13718;70305;35535;69621;33791;;;;;19699;16360;14488;13656;5613;4339;2167;2450;;;;1804;;2666;;2307;;;988;945;;;;;;;;374;;;613;137;;;;56;;;;;;;;;;;;121;;;;;;;;;;;105;113;;;;;;;;;;;;;;;;;;;421;;;;18746;;;;;;;;;;5029;206;;2755
915;Sachsen-Anhalt;999;1734719;1789775;1734719;1789775;1347837;1214761;1347837;1214761;17293;14583;10488;12821;1330544;1200178;1337349;1201940;183951;293197;146535;305085;313319;299363;256538;252286;48599;64326;59077;78701;37603;96084;41251;114024;515634;242065;496110;235492;;;;;165818;127576;143807;115330;42363;32152;18449;22509;;1969;;14483;;22554;;19213;5138;4416;11038;9763;;;;;;;;4067;;;8484;2097;;302;;846;;;;;;;;;;;;1415;;;;;;;;;1339;620;1132;1042;;;;;;;;;;;;;;;;;8481;;4517;;;;150411;;;;;;;;;;8299;15554;;25587
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Berlin-Mitte;911;207445;207010;207445;207010;161865;140655;161865;140655;1043;2061;879;1856;160822;138594;160986;138799;26816;30611;24189;28881;22933;19216;21678;16526;40672;42443;34920;42486;4586;8448;6422;11040;13706;7632;14291;7810;;;;;38521;19764;43614;19610;471;;297;746;1808;2700;1558;2473;;1809;;;1485;2785;973;2271;749;;526;2746;;809;;579;;1290;1786;1216;;199;;203;;;;;;;;209;;396;;333;;;;;;;;;131;193;85;88;;;;;;;218;;73;;55;42;;;23;36;201;;168;;8012;;9794;;658;;389;;;;;;;299;;1504
75;Berlin-Pankow;911;235392;233069;235392;233069;199072;135593;199072;135593;2259;1459;932;1251;196813;134134;198140;134342;26106;21387;26046;20245;31918;23439;28628;22455;50854;35919;38819;34836;5407;4069;6555;4932;33179;19023;31087;19426;;;;;45010;19048;43180;19157;2357;1132;762;1087;;4125;2779;3866;;;;;;3411;1573;2947;;;224;533;;852;;622;;754;2235;983;;322;;241;;;;;;407;;290;;;;260;;;;;;;;;;;83;50;;;;;;;371;;;;54;46;812;;123;44;1170;;294;;;;15126;;;;201;;;;;;;246;;2322
76;Berlin-Reinickendorf;911;172428;175195;172428;175195;134126;114070;134126;114070;1776;2361;1056;2118;132350;111709;133070;111952;28956;26901;22997;25740;40867;32972;35169;29580;17136;15523;17074;17477;4737;8333;5986;10331;23866;12583;23124;12731;;;;;15584;5194;15729;5067;;2154;455;1569;;3374;2538;3276;;888;;;;1555;743;1329;;;421;1216;;;;348;;;1013;445;;270;;146;;;;;;;;232;;;;179;;;;;;;;;;;40;22;;;;;;;247;;;;29;22;;;40;21;1204;;270;;;;7083;;;;112;;;;;;;1962;;2221
77;Berlin-Spandau – Charlottenburg Nord;911;176536;179896;176536;179896;133309;122863;133309;122863;1789;3048;1139;2908;131520;119815;132170;119955;36200;39062;24296;32853;34305;28647;31440;26158;12217;14004;14625;17193;4283;9954;5208;11798;25931;12440;25305;12780;;;;;15044;6484;17071;6074;;;409;1077;;4358;2765;4228;;1579;;;3128;2392;1063;1882;;;433;1849;;;;480;;;902;548;;281;;232;;;;;;;;365;;;;217;;;;;;;;;412;97;96;48;;;;;;;255;;;;34;30;;;49;52;;;160;;;;7913;;;;146;;;;;;;517;;2091
78;Berlin-Steglitz-Zehlendorf;911;214757;217506;214757;217506;181883;171803;181883;171803;1694;2261;819;2223;180189;169542;181064;169580;40355;41371;32989;40677;55398;48530;48500;39905;39843;37751;35848;38460;7382;14929;10750;20813;18539;9277;18678;10036;;;;;15823;7196;20722;8076;1905;1398;656;1335;;3787;2207;3326;;1749;;;;1995;816;1669;;;334;1010;;666;;556;;;1719;1089;;361;;288;;;;;;398;;328;;;;262;;;;;;;;;;;26;13;;;;;;;303;;;;26;28;;;38;48;944;;257;;;;7070;;;;125;;;;;;;134;;1661
79;Berlin-Charlottenburg-Wilmersdorf;911;195504;195586;195504;195586;162287;133235;162287;133235;1300;1419;729;1436;160987;131816;161558;131799;38187;33723;28929;28894;42273;33023;37332;29035;38681;33119;35122;35201;7063;10222;10335;13934;13870;7062;14329;7950;;;;;17861;7417;23469;8638;;1109;260;788;;2222;1462;2101;;1100;;;2477;1668;778;1476;;;280;893;;504;;398;;;1697;921;;170;;157;;;;;;;;105;;253;;243;;;;;;;;;;;25;20;;;;;;;171;;;;14;17;;;23;35;575;;186;;;;6995;;;;151;;;;;;;224;;993
80;Berlin-Tempelhof-Schöneberg;911;229238;231477;229238;231477;186838;172069;186838;172069;1820;2613;1155;2731;185018;169456;185683;169338;37934;45220;32850;41215;45573;37902;38864;31751;45639;42680;36909;42791;4986;12041;7145;15633;20626;10013;20986;10921;;;;;22399;10177;32120;12706;;1567;458;1449;4467;4061;2615;3736;;1808;;;;2313;1011;2009;1810;;609;2350;;849;;644;;;1613;1094;;406;;310;;;;;;;;325;;;;233;;;;;;;;;;;61;41;;301;;;;;289;;;;42;36;233;;93;66;532;;251;;;;9521;;;;246;;;;;;819;118;;2028
81;Berlin-Neukölln;911;192506;196593;192506;196593;146236;134004;146236;134004;1399;2926;1067;2480;144837;131078;145169;131524;27266;33880;22853;31498;28487;25173;26183;22400;16136;25790;22260;29474;2791;8240;4033;9325;18893;10047;18874;10089;;;;;43413;16943;36686;15616;831;;425;961;2654;3841;2207;3226;;1236;;;1335;2600;861;1973;2135;2326;704;3234;;;;451;;;976;645;;;;169;;;;;;;;275;;;;197;;;;;;;;;262;171;110;87;;;;;;;177;;;;32;34;;;36;61;506;;241;;;;8186;;;;325;;;;;;128;831;;1809
82;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;911;218729;218824;218729;218824;180869;151276;180869;151276;1812;1644;735;1507;179057;149632;180134;149769;23519;24416;24138;26326;17940;12706;16722;11990;54771;56602;46620;55147;4277;6784;5010;7834;13854;6999;12986;7379;;;;;62049;27024;57057;27862;;;286;650;;2902;1771;2754;;1640;;;;7859;1489;3672;;;324;1801;;851;;670;;;2055;1214;;225;;201;;;;;;;;198;;448;;337;;;;;;;;;;170;98;99;;;;;;;241;;;;26;42;;;33;36;934;;245;;;;10643;;;;390;;;;;;1713;1006;;1557
83;Berlin-Treptow-Köpenick;911;206841;206999;206841;206999;169802;156625;169802;156625;1122;2450;1019;2754;168680;154175;168783;153871;14472;23684;21403;35690;23747;21016;25858;20562;8081;15806;20226;24686;2961;8950;4949;12190;34646;17978;36410;19322;;;;;70572;54548;36609;24609;892;2331;761;2133;3235;4565;3017;4799;;1785;;;;2518;1294;2957;;;260;726;;;;596;;;1546;782;;447;;314;;;;;;;;549;;;;351;;;;;;;;;113;153;86;92;;;;;;;367;;;;27;34;100;;72;90;367;;299;;9494;;15471;;;;128;;;;;;;394;;3389
84;Berlin-Marzahn-Hellersdorf;911;195867;198002;195867;198002;149493;133719;149493;133719;1288;2658;1050;2870;148205;131061;148443;130849;12926;18901;16161;29991;43262;38914;24495;21887;6093;8064;8913;11207;1871;5859;3806;9372;43729;20980;46285;22665;;;;;24895;28572;24761;20755;1834;;1038;1301;;5375;3365;4990;;1408;;;;2665;1037;2108;;;196;509;;;;531;;;1143;606;;;;140;;;;;;;;709;;;;284;;;;;;;;;326;143;115;84;;;;;;;395;;;;47;48;;;63;97;515;;300;;12754;;16236;;;;87;;;;;;;180;;3565
85;Berlin-Lichtenberg;911;196799;200461;196799;200461;155397;143826;155397;143826;1237;2719;1064;2659;154160;141107;154333;141167;13926;27413;18331;32403;27190;17696;21230;16891;8108;19179;16699;21777;2231;8463;3877;9796;33707;17415;34635;17916;;;;;52378;36409;36204;25840;851;2443;595;1857;3576;5821;3100;4823;;1768;;;;3818;1243;2906;;;221;620;;;;705;;;1546;928;;284;;212;;;;;;;;712;;;;339;;;;;;;;;;195;100;106;;;;;;;389;;;;39;49;150;;83;79;516;;289;;11527;;15613;;;;139;;;;;;;203;;3208
911;Berlin;999;2442042;2460618;2442042;2460618;1961177;1709738;1961177;1709738;18539;27619;11644;26793;1942638;1682119;1949533;1682945;326663;366569;295182;374413;413893;339234;356099;289140;338231;346880;328035;370735;52575;106292;74076;136998;294546;151449;296990;159025;;;;;423549;238776;387222;194010;9141;12134;6402;14953;15740;47131;29384;43598;;16770;;;8425;35579;12881;27199;4694;2326;4532;17487;;4531;;6580;;2044;18231;10471;;2965;;2613;;;;;;805;;4297;;1097;;3235;;;;;;;;;1244;1122;925;750;;301;;;;;3423;;73;;425;428;1295;;676;665;7464;;2960;;41787;;129651;;658;;2439;;;;;;2660;6114;;26348
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Aachen I;905;172442;176306;172442;176306;143853;140020;143853;140020;2901;1107;871;727;140952;138913;142982;139293;27722;33087;25206;30588;45548;35562;34179;31772;39377;41942;34769;40421;5916;10906;6869;15032;;5314;13889;5427;;;;;13162;6161;18399;7453;3338;849;403;531;;;970;1151;;1502;187;1342;;3058;743;1632;;;196;871;;;;542;3211;;1522;1389;;;;224;;;;;;;;72;;;;268;;;;53;;;;;;;36;30;;;;;;;241;33;;;;22;;;;;2678;;183;;;;5058;;;;93;;;;39;;;532;;440
87;Aachen II;905;224835;226420;224835;226420;182361;170670;182361;170670;6363;1883;1376;1583;175998;168787;180985;169087;53747;58189;37900;53408;70541;54808;57089;49838;13269;19976;17002;19918;8191;12055;7599;17892;;12632;34595;12409;;;;;13330;4496;12306;5259;12919;2034;1284;1131;;;2531;2525;;1704;378;1587;;2893;882;1584;;;349;1012;;;;613;4001;;1026;471;;;;187;;;;;;;;188;;;;113;;;;43;;;;;;;27;23;;;;;;;275;52;;;;17;;;;;;;177;;;;7376;;;;80;;;;109;;;0;;817
88;Heinsberg;905;192359;192346;192359;192346;157150;145368;157150;145368;1595;1649;1118;1397;155555;143719;156032;143971;29813;37249;26663;38822;64624;57095;54971;46466;11797;15368;13623;16858;4679;10691;6516;16023;30784;10965;31408;11359;;;;;8959;3608;9856;4529;2804;2288;1208;1375;;;2443;2334;;1554;449;1602;;4901;854;1929;;;250;438;;;;532;2095;;1076;382;;;;87;;;;;;;;210;;;;75;;;;53;;;;;;;22;18;;;;;;;285;47;;;;14;;;;;;;178;;;;6077;;;;48;;;;105;;;0;;818
89;Düren;905;199301;199656;199301;199656;164552;153645;164552;153645;1452;1707;1133;1516;163100;151938;163419;152129;35854;46734;30306;44058;64996;55719;54483;46217;12153;14174;13843;16951;4591;11237;7006;17104;33137;12947;33517;13171;;;;;9105;3449;10498;4570;3264;2196;1179;1296;;;2549;2465;;1565;395;1545;;2298;834;1387;;;249;641;;1146;;730;;;916;514;;;;88;;;;;;;;222;;;;87;;;;162;;;;;;;31;12;;;;;;;323;54;;;;10;;;;;;;208;;;;6931;;;;43;;;;108;;;473;;845
90;Rhein-Erft-Kreis I;905;247391;249035;247391;249035;207151;194862;207151;194862;1795;1909;1164;1461;205356;192953;205987;193401;53545;58858;40603;54714;71833;63635;65147;55068;20977;25409;23850;27566;7550;17542;10284;24227;34348;13537;34398;13417;;;;;13218;5889;14817;5682;2567;2132;1091;1439;;;2798;2767;;2218;443;1762;;;930;1446;;;460;1627;;2860;;1237;;;1393;708;;;;100;;;;;;;;215;;;;147;;;;65;;;;;;;29;27;;;;;;;373;70;;;;20;;;;;1318;;370;;;;8790;;;;82;;;;129;;;873;;1097
91;Euskirchen – Rhein-Erft-Kreis II;905;248663;249198;248663;249198;207572;192814;207572;192814;2052;2031;1198;1540;205520;190783;206374;191274;42466;50892;36497;50949;78883;65981;69740;58081;19549;25005;22512;26161;8498;19805;9905;23314;37837;14999;37881;14894;;;;;11457;4993;12960;5730;2885;2724;1433;1628;;;2813;2828;;2505;595;2187;;2690;1028;1631;;;334;740;;1189;;825;2860;;1414;584;;;;133;;;;;;;;271;;;;138;;;;95;;;;;;;36;22;;;;;;;371;72;;;;19;;;;;1085;;443;;;;8216;;;;61;;;;135;;;0;;972
92;Köln I;905;190951;190630;190951;190630;153110;140901;153110;140901;1515;1097;876;821;151595;139804;152234;140080;37717;38985;29775;36933;37261;31636;33934;27695;30496;33405;27274;33501;4672;11490;6407;15040;20022;8789;18853;8363;;;;;16894;7213;22716;8267;1488;1108;580;753;;;1600;1704;;1615;297;1327;;2768;851;1607;;;344;1768;;;;548;2698;2353;1671;1340;;;;88;;;;;;;;127;;;;152;;;;72;;;;;347;181;96;64;;;;;;;310;67;;;;15;;;;;;;181;;;;7170;;;;125;;;;50;;;261;;649
93;Köln II;905;243912;242483;243912;242483;214600;204955;214600;204955;1213;972;679;622;213387;203983;213921;204333;35124;40103;37916;43193;59925;50918;53426;41834;72858;70658;55085;65240;8061;16950;12933;26470;12775;5587;13444;5891;;;;;18454;8771;28762;10399;881;1369;432;792;;;1448;1646;;2005;237;1773;;3312;986;1898;;;215;1049;;;;558;4534;4111;2330;2323;;;;159;;;;;;;;127;;;;182;;;;83;;;;;;117;31;31;;;;;;;334;64;;;;12;;;;;567;;181;;;;6017;;;;90;;;;54;;208;82;;609
94;Köln III;905;206670;204539;206670;204539;169136;155242;169136;155242;1314;1107;782;840;167822;154135;168354;154402;43307;46149;33495;39901;32639;28674;32523;27485;43697;43600;36769;44407;4773;10708;5715;13845;19459;8015;18861;7876;;;;;18806;8435;27502;9903;1322;1100;503;684;;;1745;1846;;1831;311;1605;;3143;958;1784;;;415;1937;;;;466;3074;2108;1632;1424;;;;121;;;;;;;;139;;;;135;;;;52;;;;;;113;59;72;;;;;745;;338;48;;;;11;;;;;;;153;;;;7190;;;;137;;;;48;;;259;;661
95;Bonn;905;228194;230215;228194;230215;193699;185557;193699;185557;1647;1447;976;1113;192052;184110;192723;184444;41577;46251;34078;41641;63973;44872;50413;41551;46819;46467;44136;50174;4737;23198;9995;21902;15681;7448;17186;7750;;;;;14776;6675;23994;10026;935;1183;419;897;;;1252;1371;;2101;338;1823;;2700;877;1661;;;270;1817;;;;611;3017;2919;2147;1955;;;;162;;;;;;;;113;;;;196;;;;106;;;;;;138;59;57;;;;;537;;287;53;;;;12;;;;;;;128;;;;6911;;;;141;;;;92;;;158;;566
96;Rhein-Sieg-Kreis I;905;238140;238627;238140;238627;199347;188217;199347;188217;1751;1751;1068;1393;197596;186466;198279;186824;44274;53213;35483;49529;70350;60776;63303;51474;22219;26270;24783;29305;8438;16604;9908;23122;34564;13045;34453;13604;;;;;11331;6242;13446;6353;3319;1929;1256;1392;;;2609;3021;;2951;511;2583;;3828;1098;2067;;;350;921;;;;804;3101;1006;1705;921;;;;156;;;;;;;;223;;;;153;;;;220;;;;;;;36;19;;;;;;;368;52;;;;23;;;;;;;254;;;;8503;;;;67;;;;146;;;602;;882
97;Rhein-Sieg-Kreis II;905;214269;216063;214269;216063;183163;176637;183163;176637;1428;1317;882;1216;181735;175320;182281;175421;32287;41004;30333;41753;79639;70144;63717;51795;23157;26956;26800;31027;5879;13914;10261;23435;25832;10385;26036;10551;;;;;9768;4607;11888;5687;2139;1697;900;1303;;;1853;2215;;2285;434;2111;;2537;821;1530;;;269;855;;;;599;3034;1140;1651;1022;;;;166;;;;;;;;196;;;;135;;;;169;;;;;;;24;20;;;;;;;278;61;;;;10;;;;;;;205;;;;6636;;;;45;;;;130;;;651;;781
98;Oberbergischer Kreis;905;204353;206640;204353;206640;169819;160146;169819;160146;1559;1639;1210;1472;168260;158507;168609;158674;34869;42461;29960;42413;62100;53757;53407;44018;14813;19015;16035;19959;5476;15636;7771;19796;36265;15071;35722;15211;;;;;10064;4587;10598;5153;2914;2246;1189;1434;;;2369;2426;;2847;589;2809;;2887;1010;1622;;;253;635;;;;652;1759;;1032;403;;;;183;;;;;;;;221;;;;104;;;;699;;;;;;;47;25;;;;;;;347;110;;;;18;;;;;;;295;;;;7768;;;;37;;;;180;;;0;;783
99;Rheinisch-Bergischer Kreis;905;214554;217193;214554;217193;184312;176933;184312;176933;1155;1349;862;1037;183157;175584;183450;175896;34424;39827;33928;44429;77301;52714;61975;48224;25245;31626;27583;32285;9054;29576;10199;24373;22758;9518;24339;10051;;;;;9309;4845;11972;5222;1692;3632;999;1697;;;2151;2199;;2455;424;2247;;;855;1419;;;218;662;;;;554;2529;1391;1694;1144;;;;115;;;;;;;;208;;;;127;;;;132;;;;;;;58;27;;;;;;;305;41;;;;9;;;;;845;;280;;;;6305;;;;54;;;;111;;;0;;731
100;Leverkusen – Köln IV;905;206279;209102;206279;209102;165366;154163;165366;154163;1595;1403;1032;1163;163771;152760;164334;153000;53574;69662;34871;44586;41855;31197;40450;33246;18081;17290;23355;29329;5102;11050;6418;15931;25439;10797;25392;10966;;;;;14848;5657;19137;7318;1984;1479;695;918;;;2106;2081;;2222;364;1715;;2782;1100;2076;;;409;1669;;;;664;2558;;1475;996;;;;112;;;;;;;;216;;;;124;;;;100;;;;;330;212;117;96;;;;;;;287;57;;;;24;;;;;;;169;;;;7786;;;;100;;;;103;;;412;;776
101;Wuppertal I;905;196546;202528;196546;202528;153114;146699;153114;146699;1442;1741;963;1300;151672;144958;152151;145399;50907;54065;30704;42421;36841;31960;35829;30527;13033;18932;19165;25388;4563;13756;6286;15970;27707;11995;27299;12090;;;;;13852;6742;18608;8055;1805;1544;670;964;;;1923;2159;;2068;354;1733;;2665;890;1674;;;326;1713;;;;533;1913;1028;1169;732;;;;97;;;;;;;;152;;;;123;;;;115;;;;;;203;93;122;;;;;;;249;49;;;;30;;;;;;;149;;;;8248;;;;98;;;;91;;1051;0;;752
102;Solingen – Remscheid – Wuppertal II;905;216618;220204;216618;220204;173656;163495;173656;163495;1511;1526;1082;1277;172145;161969;172574;162218;47237;52852;34679;48196;55860;44778;49129;39413;14997;20967;19322;24296;5555;17406;8171;20256;31911;12335;31539;12506;;;;;12886;5099;14540;6076;;1662;668;1086;;;2328;2521;;2233;404;1913;;3398;1140;2044;;;418;1312;;;;624;2646;;1331;470;;;;99;;;;;;;;194;;;;174;;;;83;;;;;429;169;110;80;;;;;;;305;70;;;;13;;;;;;;215;;;;8115;;;;81;;;;79;;624;1070;;792
103;Mettmann I;905;200860;203030;200860;203030;167587;159457;167587;159457;1365;1561;883;1149;166222;157896;166704;158308;37459;39326;31482;42385;60813;47326;53516;43354;20705;36095;21284;25430;7482;14873;9419;21083;26187;10704;25921;10658;;;;;10713;4252;11506;4956;;1818;680;1117;;;2259;2260;;1845;340;1632;;;825;1474;;;338;1321;;;;652;2863;;1401;571;;;;104;;;;;;;;208;;;;94;;;;98;;;;;;;38;22;;;;;;;350;77;;;;14;;;;;;;188;;;;6983;;;;57;;;;117;;;1657;;798
104;Mettmann II;905;156872;160175;156872;160175;129847;123769;129847;123769;1221;1172;752;877;128626;122597;129095;122892;32169;37635;25094;34409;46152;38429;41357;33254;14237;17730;14517;18112;5007;11158;6817;16235;22097;8894;21731;9104;;;;;8542;3395;9159;3887;;1166;500;759;;;1767;1656;;1366;225;1210;;2258;728;1293;;;241;851;;;;613;;;837;312;;;;79;;;;;;;;183;;;;85;;221;;154;;;;;422;99;76;59;;;;;;;249;34;;;;15;;;;;;;129;;;;5533;;;;55;;;;80;;;246;;588
105;Düsseldorf I;905;224445;220827;224445;220827;187057;175110;187057;175110;1392;1162;763;807;185665;173948;186294;174303;39356;38955;32067;38195;67108;54158;56461;44892;32269;36926;34053;39452;9883;24242;14546;27743;18227;7002;18536;7495;;;;;13321;5094;17731;6741;1026;1089;469;851;;;1561;1635;;1802;270;1535;;2531;817;1561;;;274;1315;;;;516;3344;1546;1839;1108;;;;110;;;;;;;;143;;;;165;;;;42;;;;;292;104;92;49;;;;;;;324;52;;;;12;;;;;839;;249;;;;6791;;;;108;;;;106;;;499;;691
