# (c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wählende;ungültig;gültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;FREIE WÄHLER;Tierschutzpartei;dieBasis;Die PARTEI;Team Todenhöfer;PIRATEN;Volt;ÖDP;SSW;Verjüngungsforschung;PdH;Bündnis C;BP;MLPD;MENSCHLICHE WELT;PdF;SGP;BüSo;BÜNDNIS DEUTSCHLAND;BSW;MERA25;WerteUnion;Übrige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Nordrhein-Westfalen;E;Brief;0;3825938;24412;3801526;994569;1461507;528339;127276;373600;0;199715;47842;0;0;13777;1702;0;37142;0;0;0;0;0;0;2437;0;632;0;0;5296;2284;0;1215;4193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Nordrhein-Westfalen;Z;Zusammen;12884209;10587740;61606;10526134;2108434;3170627;1300901;462446;1770379;0;877123;52891;133480;22219;59077;20021;0;68915;0;0;0;0;0;0;4045;0;17965;0;0;13669;432911;4295;6736;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Nordrhein-Westfalen;Z;Urne;12884209;6761802;49135;6712667;1284820;1844583;748358;296319;1380245;0;617452;29216;79541;14917;35229;12322;0;37610;0;0;0;0;0;0;2914;0;9889;0;0;9284;302806;2869;4293;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Nordrhein-Westfalen;Z;Brief;0;3825938;12471;3813467;823614;1326044;552543;166127;390134;0;259671;23675;53939;7302;23848;7699;0;31305;0;0;0;0;0;0;1131;0;8076;0;0;4385;130105;1426;2443;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;E;Zusammen;3186780;2584777;22002;2562775;247349;612826;129025;69629;986060;0;326830;71775;0;0;12288;0;0;10766;0;0;0;1258;0;0;772;0;0;0;0;11666;79556;0;0;2975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;E;Urne;3186780;1769799;15869;1753930;144842;376039;65355;44743;799164;0;206771;45575;0;0;7282;0;0;5242;0;0;0;747;0;0;491;0;0;0;0;7333;48571;0;0;1775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;E;Brief;0;814978;6133;808845;102507;236787;63670;24886;186896;0;120059;26200;0;0;5006;0;0;5524;0;0;0;511;0;0;281;0;0;0;0;4333;30985;0;0;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;Z;Zusammen;3186780;2584777;15205;2569572;217144;507247;167269;83436;958401;0;290462;40139;29743;0;13692;0;4018;14741;0;0;0;2472;0;0;1116;0;0;0;0;7435;232257;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;Z;Urne;3186780;1769799;12299;1757500;128181;309230;86276;55604;777199;0;184196;24142;19167;0;8397;0;2498;7566;0;0;0;1444;0;0;722;0;0;0;0;4779;148099;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;Z;Brief;0;814978;2906;812072;88963;198017;80993;27832;181202;0;106266;15997;10576;0;5295;0;1520;7175;0;0;0;1028;0;0;394;0;0;0;0;2656;84158;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;E;Zusammen;4341919;3608634;35802;3572832;843094;1154330;411127;128781;633669;0;256907;80795;2772;0;7004;0;0;47890;0;0;0;0;0;0;1448;0;0;0;0;3040;0;0;0;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;E;Urne;4341919;2303289;24702;2278587;524686;684906;237856;81041;484574;0;184185;46221;1551;0;4099;0;0;25389;0;0;0;0;0;0;944;0;0;0;0;1951;0;0;0;1184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;E;Brief;0;1305345;11100;1294245;318408;469424;173271;47740;149095;0;72722;34574;1221;0;2905;0;0;22501;0;0;0;0;0;0;504;0;0;0;0;1089;0;0;0;791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;Z;Zusammen;4341919;3608634;27800;3580834;657510;1033842;451510;180823;636778;0;311058;46567;44516;0;18111;0;0;31542;0;0;0;3014;0;0;1170;0;0;0;0;5740;158653;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;Z;Urne;4341919;2303289;20775;2282514;403053;604655;260867;116026;484207;0;218000;25902;25866;0;11041;0;0;16836;0;0;0;1809;0;0;773;0;0;0;0;3856;109623;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;Z;Brief;0;1305345;7025;1298320;254457;429187;190643;64797;152571;0;93058;20665;18650;0;7070;0;0;14706;0;0;0;1205;0;0;397;0;0;0;0;1884;49030;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;E;Zusammen;1652462;1333474;10248;1323226;131842;272827;36822;28121;512070;0;209947;25831;0;0;0;0;0;0;0;0;0;0;0;0;1678;0;0;0;0;0;96975;0;0;7113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;E;Urne;1652462;991783;8307;983476;85741;187294;21681;20542;434068;0;143916;18413;0;0;0;0;0;0;0;0;0;0;0;0;1169;0;0;0;0;0;65121;0;0;5531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;E;Brief;0;341691;1941;339750;46101;85533;15141;7579;78002;0;66031;7418;0;0;0;0;0;0;0;0;0;0;0;0;509;0;0;0;0;0;31854;0;0;1582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;Z;Zusammen;1652462;1333474;9314;1324160;115915;246065;56097;37292;510527;0;200688;20621;0;0;0;0;0;6998;0;0;0;0;0;0;1743;0;0;0;0;3454;124760;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;Z;Urne;1652462;991783;7807;983976;76330;167113;33971;28073;432465;0;136559;14459;0;0;0;0;0;4292;0;0;0;0;0;0;1281;0;0;0;0;2601;86832;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;Z;Brief;0;341691;1507;340184;39585;78952;22126;9219;78062;0;64129;6162;0;0;0;0;0;2706;0;0;0;0;0;0;462;0;0;0;0;853;37928;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
