© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2025 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte (A);Wählende (B);Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
NI;03354;Lüchow-Dannenberg;38733;32108;221;31887;8708;8265;4678;563;5054;0;2282;1878;0;284;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;31943;6666;7678;4777;884;5380;0;3439;939;390;110;149;0;57;97;0;0;0;15;0;0;12;0;0;0;0;26;1324;0;0
NI;03355;Lüneburg;143946;122911;722;122189;34202;32298;20619;3331;18841;0;8655;1832;0;1248;0;0;0;1163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;122400;25723;29462;20870;4748;19679;0;12559;939;1376;456;653;0;201;880;0;0;0;73;0;0;23;0;0;0;0;120;4638;0;0
NI;03356;Osterholz;90366;77055;476;76579;18268;27294;8994;2183;12883;0;5956;0;0;0;0;0;0;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;76720;17630;21638;9661;2998;13253;0;5669;391;1001;235;319;0;119;536;0;0;0;66;0;0;19;0;0;0;0;104;3081;0;0
NI;03357;Rotenburg (Wümme);129401;108813;743;108070;33848;38939;7814;2707;19340;0;2997;1181;0;0;0;0;0;1244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;108321;24045;34420;10681;4285;20047;0;7654;912;1104;278;510;0;150;631;0;0;0;65;0;0;15;0;0;0;0;139;3385;0;0
NI;03358;Heidekreis;108321;89362;761;88601;38150;23387;4178;2007;17807;0;0;1742;0;0;0;0;0;1330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545;88817;22906;24326;7590;3144;18413;0;5937;845;1130;186;348;0;133;671;0;0;0;53;0;0;13;0;0;0;0;106;3016;0;0
NI;03359;Stade;157863;132986;975;132011;35088;44220;13177;3845;25133;0;8533;452;0;0;0;0;0;1563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;609;132377;29339;38963;14572;5350;25157;0;9274;885;1501;378;661;0;248;1067;0;0;0;96;0;0;22;0;0;0;0;160;4704;0;0
NI;03360;Uelzen;74248;61477;432;61045;14887;20662;5801;2098;11841;0;3795;1392;0;0;0;0;0;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;61177;13547;17699;6423;2411;11930;0;4446;699;750;132;315;0;103;317;0;0;0;29;0;0;8;0;0;0;0;62;2306;0;0
NI;03361;Verden;105716;89113;603;88510;22697;32043;9458;2769;15174;0;5116;0;0;0;0;0;0;1253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413;88700;20385;24690;10791;3945;15930;0;6388;562;1006;203;382;0;129;641;0;0;0;48;0;0;17;0;0;0;0;133;3450;0;0
NI;03401;Delmenhorst, Stadt;54470;42301;462;41839;10927;11430;3115;1777;10013;0;3459;829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0;354;41947;9942;9748;3250;1613;9941;0;3518;323;621;80;190;0;69;223;0;0;0;39;0;0;8;0;0;0;0;88;2294;0;0
NI;03402;Emden, Stadt;36530;28767;282;28485;12850;4858;1462;612;5791;0;2080;0;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;180;28587;8452;5432;2663;883;5898;0;2830;125;450;74;164;0;56;134;0;0;0;15;0;0;7;0;0;0;0;34;1370;0;0
NI;03403;Oldenburg (Oldenburg), Stadt;130165;109778;755;109023;37123;21576;21543;3101;11691;0;11064;1028;0;0;0;0;0;1897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434;109344;25696;21521;22513;4559;11389;0;15789;441;1075;188;549;0;167;1225;0;0;0;107;0;0;40;0;0;0;0;98;3987;0;0
NI;03404;Osnabrück, Stadt;120138;99407;639;98768;27706;25586;16078;2606;9946;0;14091;945;0;0;0;0;0;1485;0;0;0;0;0;0;0;0;0;0;0;0;0;325;438;98969;23522;22393;18535;4181;10042;0;13542;409;809;232;477;0;149;958;0;0;0;81;0;0;39;0;0;0;0;75;3525;0;0
NI;03405;Wilhelmshaven, Stadt;57947;44467;396;44071;15464;10261;2465;1088;9373;0;3096;1111;0;263;566;0;0;384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;44136;11088;10648;3597;1558;9480;0;3856;444;693;116;295;0;70;275;0;0;0;44;0;0;20;0;0;0;0;61;1891;0;0
NI;03451;Ammerland;99179;84210;518;83692;29157;24596;7185;2895;13355;0;4608;1043;0;0;0;0;0;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;367;83843;20327;24555;9344;3996;13533;0;5911;504;953;149;417;0;102;497;0;0;0;66;0;0;15;0;0;0;0;102;3372;0;0
NI;03452;Aurich;153270;126932;993;125939;50707;29212;6328;2969;25369;0;6859;0;3520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;975;836;126096;35826;30575;10085;4169;26649;0;8822;1192;2052;310;477;0;192;460;0;0;0;55;0;0;27;0;0;0;0;127;5078;0;0
NI;03453;Cloppenburg;122303;101166;687;100479;16438;44410;5360;3536;24484;0;4869;1382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;573;100593;15194;37956;6131;4558;24314;0;5764;767;816;224;359;0;129;400;0;0;0;49;0;0;13;0;0;0;0;148;3771;0;0
NI;03454;Emsland;241862;205957;1272;204685;40015;97435;13476;6749;33457;0;10082;3096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;375;0;0;0;0;997;204960;37333;84945;15468;9035;34066;0;12452;1401;1616;369;820;0;247;723;0;0;0;112;0;0;27;0;0;0;0;279;6067;0;0
NI;03455;Friesland;81626;68317;505;67812;24887;18034;4261;1965;12449;0;3517;949;0;646;668;0;0;436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;67953;17671;17909;6254;2969;12723;0;4851;511;1044;287;357;0;110;344;0;0;0;45;0;0;23;0;0;0;0;84;2771;0;0
NI;03456;Grafschaft Bentheim;98058;83044;509;82535;23558;32926;5890;2780;11640;0;4363;1121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;0;0;0;0;376;82668;20173;29388;7253;3764;11923;0;5369;515;695;155;290;0;95;273;0;0;0;41;0;0;12;0;0;0;0;98;2624;0;0
NI;03457;Leer;131392;108801;863;107938;29040;36409;8834;2356;22908;0;6563;1828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596;108205;27553;28317;8802;3839;23671;0;7745;788;1382;346;517;0;148;412;0;0;0;52;0;0;16;0;0;0;0;138;4479;0;0
NI;03458;Oldenburg;102378;87342;580;86762;20621;27311;10058;6141;14598;0;5516;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0;361;86981;19198;24751;10297;5116;15011;0;5952;1013;1078;198;372;0;132;596;0;0;0;54;0;0;11;0;0;0;0;168;3034;0;0
