© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2025 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nummer;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
022;Hamburg-Wandsbek;HH;Urne;230501;108563;1138;107425;33465;24278;12575;3426;19349;0;12688;1347;0;0;0;0;0;0;0;0;0;0;0;297;0;0;0;0;0;0;0;0;758;107805;25531;21804;14161;4442;18882;0;13646;464;1162;0;484;0;0;1302;0;0;0;0;0;0;56;0;0;0;0;175;5696;0;0
023;Hamburg-Bergedorf – Harburg;HH;Urne;218950;107623;1235;106388;32657;20555;10808;2680;22989;0;13573;1125;0;0;0;0;0;1763;0;0;0;0;0;238;0;0;0;0;0;0;0;0;865;106758;23710;19421;11811;3528;22567;0;15982;473;1003;0;458;0;0;1220;0;0;0;0;0;0;66;0;0;0;0;183;6336;0;0
024;Aurich – Emden;NI;Urne;189800;119126;1045;118081;47902;24468;5378;2734;26660;0;7201;0;3127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;611;879;118247;33113;26080;8787;3843;27727;0;9376;977;1819;288;488;0;178;404;0;0;0;46;0;0;26;0;0;0;0;128;4967;0;0
025;Unterems;NI;Urne;237527;152937;1137;151800;33021;60669;9481;3869;33958;0;8543;2259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;892;152045;31789;49121;10058;6075;34854;0;10229;980;1463;412;639;0;198;456;0;0;0;63;0;0;20;0;0;0;0;176;5512;0;0
026;Friesland – Wilhelmshaven – Wittmund;NI;Urne;185864;113563;913;112650;38775;28656;5912;2992;25063;0;6837;1742;0;872;1105;0;0;696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744;112819;27833;28211;8682;4496;25635;0;8819;862;1626;425;611;0;175;502;0;0;0;90;0;0;40;0;0;0;0;158;4654;0;0
027;Oldenburg – Ammerland;NI;Urne;229344;144141;1042;143099;48825;33399;19664;4343;21299;0;12238;1472;0;0;0;0;0;1859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;143427;33339;33317;22221;6275;21194;0;16639;669;1459;253;701;0;221;1149;0;0;0;125;0;0;41;0;0;0;0;153;5671;0;0
028;Delmenhorst – Wesermarsch – Oldenburg-Land;NI;Urne;225017;144535;1217;143318;37308;40688;12736;7579;30889;0;10426;2921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;771;0;0;0;0;862;143673;32941;36143;13337;7039;31318;0;11092;1388;1812;310;662;0;231;782;0;0;0;96;0;0;21;0;0;0;0;264;6237;0;0
029;Cuxhaven – Stade II;NI;Urne;187074;118159;888;117271;34513;37465;7737;3190;25891;0;6374;2101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690;117469;27015;33993;9697;4471;26226;0;7400;825;1490;398;477;0;174;690;0;0;0;48;0;0;20;0;0;0;0;143;4402;0;0
030;Stade I – Rotenburg II;NI;Urne;197893;124921;927;123994;30217;44500;10970;3511;25300;0;8121;0;0;0;0;0;0;1375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;644;124277;25871;37433;12450;5138;25741;0;9194;810;1238;339;625;0;200;809;0;0;0;84;0;0;18;0;0;0;0;172;4155;0;0
031;Mittelems;NI;Urne;233785;157423;991;156432;37342;68476;10327;5418;24148;0;8196;2040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;485;0;0;0;0;820;156603;32665;61133;12460;7151;24523;0;10138;927;1178;247;574;0;177;492;0;0;0;64;0;0;12;0;0;0;0;219;4643;0;0
