# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
Bund;1;Brief;m|d|o;1956-1965;1676417;12427;353116;494877;173128;44321;260564;187298;67392;83295;50740;9182
Bund;1;Brief;m|d|o;<=1955;1969213;17722;512621;700936;126964;61795;178609;228368;81228;60971;33473;14124
Bund;1;Brief;w;Summe;10072519;66991;2220030;2625810;1421317;313343;1019058;981426;767598;656946;345334;72783
Bund;1;Brief;w;2001-2007;619340;2604;132427;74015;129129;22957;48404;33788;132352;43664;18861;3546
Bund;1;Brief;w;1991-2000;1338459;5996;244237;195469;312866;51043;127201;94470;189128;118049;52427;6868
Bund;1;Brief;w;1981-1990;1330904;8178;225434;284228;246099;41100;171750;121817;116079;116219;58613;10319
Bund;1;Brief;w;1966-1980;2159465;14569;405295;566019;294209;66338;294204;225463;126333;167034;95096;16361
Bund;1;Brief;w;1956-1965;1924661;14065;461727;535177;248245;53060;201056;201544;92792;116994;66634;15771
Bund;1;Brief;w;<=1955;2699690;21578;750909;970902;190769;78845;176442;304344;110914;94987;53701;19918
Bund;2;Summe;Summe;Summe;49928653;279141;8149124;11196374;5762380;2148757;10328780;2964028;4356532;4743537;769279;2472947
Bund;2;Summe;Summe;2001-2007;3363686;12943;377416;334122;391466;187808;637555;101233;916997;404147;43776;189188
Bund;2;Summe;Summe;1991-2000;6192862;18184;684775;754620;986526;319774;1277145;242874;1081792;827172;115491;349459
Bund;2;Summe;Summe;1981-1990;7493320;28750;835720;1315709;1086981;304603;2012279;378216;653504;877558;134728;415647
Bund;2;Summe;Summe;1966-1980;12047461;51624;1645161;2726874;1469682;483675;3081327;724045;711174;1153897;207159;603039
