# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: SPD;Erststimme: CDU;Erststimme: GRÜNE;Erststimme: FDP;Erststimme: AfD;Erststimme: CSU;Erststimme: Die Linke;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. BSW
Bund;Summe;<=1955;dar. BSW;426281;21905;65815;50632;6838;13680;64656;4734;95168;102854;23426;61773
Bund;m|d|o;Summe;Summe;24373519;192534;4434228;6216381;2369737;829255;5924711;1616071;1647873;1142728;565828;126474
Bund;m|d|o;Summe;ungültig;120417;83581;8919;9900;1162;1365;9552;2540;1617;1782;894;122
Bund;m|d|o;Summe;SPD;3611758;10976;3032156;202498;159081;16919;18143;35894;86628;49463;21409;1927
Bund;m|d|o;Summe;CDU;5536802;14789;233636;4973296;60801;80796;85683;;30459;57341;35541;2758
Bund;m|d|o;Summe;GRÜNE;2583316;3004;453427;126382;1810996;10474;2253;25621;97333;53827;9331;186
Bund;m|d|o;Summe;FDP;1171729;3019;53718;372173;16937;572225;45040;68909;10252;29456;20231;953
Bund;m|d|o;Summe;AfD;6095875;20198;52307;260412;3683;48862;5500752;72836;26228;110598;68115;8250
Bund;m|d|o;Summe;CSU;1461963;2893;27415;;14059;16070;14484;1334505;2368;50170;41918;345
Bund;m|d|o;Summe;Die Linke;1767791;4892;318283;52548;223273;9035;16236;6453;1089380;47690;12554;5948
Bund;m|d|o;Summe;Sonstige;2023867;49182;254367;219172;79745;73509;232569;69315;303608;742401;355835;105985
Bund;m|d|o;Summe;dar. FREIE WÄHLER;339792;1764;15625;26919;3151;6706;14056;38953;4402;228216;219716;953
Bund;m|d|o;Summe;dar. BSW;1049831;34661;158674;136524;18297;43641;176204;18800;224466;238564;74564;102300
Bund;m|d|o;2001-2007;Summe;1710816;11453;298749;275698;188513;101262;410338;79313;240043;105447;42359;8754
Bund;m|d|o;2001-2007;ungültig;7660;6040;384;148;9;9;434;99;269;267;97;
Bund;m|d|o;2001-2007;SPD;190215;228;135057;16603;12827;4078;1648;3087;10974;5712;1901;209
Bund;m|d|o;2001-2007;CDU;203640;398;15044;165415;2787;7872;5894;;1910;4319;2040;259
Bund;m|d|o;2001-2007;GRÜNE;188255;60;37192;7257;120724;1660;172;2269;12183;6739;832;
Bund;m|d|o;2001-2007;FDP;127708;331;8554;33849;2404;65277;5234;6920;1686;3453;2268;150
Bund;m|d|o;2001-2007;AfD;429930;686;5626;22952;258;6602;376210;6769;2149;8677;4288;649
Bund;m|d|o;2001-2007;CSU;60259;30;1680;;1021;1364;1539;50962;384;3279;2893;
Bund;m|d|o;2001-2007;Die Linke;299295;637;62369;5746;39122;1868;1391;1185;178134;8844;1663;881
Bund;m|d|o;2001-2007;Sonstige;203854;3042;32843;23728;9361;12531;17815;8021;32355;64157;26377;6607
Bund;m|d|o;2001-2007;dar. FREIE WÄHLER;23699;51;1295;1559;170;755;753;3391;575;15150;14182;274
Bund;m|d|o;2001-2007;dar. BSW;89781;1840;18022;13269;1768;7103;10267;2363;18297;16850;4814;5862
Bund;m|d|o;1991-2000;Summe;3128680;17796;482986;517404;452477;156643;759479;152936;372481;216478;95818;14024
Bund;m|d|o;1991-2000;ungültig;9921;7998;187;489;128;57;588;;270;204;110;
Bund;m|d|o;1991-2000;SPD;314394;744;240929;20972;21823;2379;1606;5025;13151;7764;2695;115
Bund;m|d|o;1991-2000;CDU;409005;532;24094;345995;7141;11033;8527;;3551;8133;4724;162
Bund;m|d|o;1991-2000;GRÜNE;456154;250;74557;15947;320310;2292;251;3962;25851;12734;1770;34
Bund;m|d|o;1991-2000;FDP;197654;453;11625;50506;4856;106531;5716;9867;2300;5799;3365;119
Bund;m|d|o;1991-2000;AfD;798420;2003;6827;36769;829;10114;707627;12410;3130;18711;11385;1253
Bund;m|d|o;1991-2000;CSU;124629;87;2747;;1936;2021;1473;110042;354;5970;4763;119
Bund;m|d|o;1991-2000;Die Linke;437105;693;73847;7675;71981;2690;2270;1149;265495;11306;2380;856
Bund;m|d|o;1991-2000;Sonstige;381398;5036;48174;39050;23475;19526;31421;10482;58378;145856;64626;11366
Bund;m|d|o;1991-2000;dar. FREIE WÄHLER;55698;185;1928;5057;607;1051;2388;4948;776;38759;37016;188
Bund;m|d|o;1991-2000;dar. BSW;156954;3330;25717;21862;4307;11193;18992;3050;34769;33734;11297;10629
Bund;m|d|o;1981-1990;Summe;3788185;23507;511041;789961;459803;127736;1154625;215907;284742;220864;107334;18633
Bund;m|d|o;1981-1990;ungültig;13334;10687;432;523;298;85;924;46;133;205;53;
Bund;m|d|o;1981-1990;SPD;369489;498;293960;21957;23502;2704;2777;4365;12284;7441;2657;107
Bund;m|d|o;1981-1990;CDU;677906;904;30553;596474;9300;11459;14332;;5017;9867;6023;363
Bund;m|d|o;1981-1990;GRÜNE;499138;340;76927;20488;358654;2044;664;4405;24031;11585;2222;30
Bund;m|d|o;1981-1990;FDP;170631;190;8914;49906;3301;85365;6388;9652;1871;5045;3740;71
Bund;m|d|o;1981-1990;AfD;1204553;3688;10079;52573;874;8803;1084684;15568;3914;24370;15960;1728
Bund;m|d|o;1981-1990;CSU;191672;176;4136;;2831;2814;2763;170661;160;8132;6509;56
Bund;m|d|o;1981-1990;Die Linke;288137;636;42674;7189;43005;732;2347;958;182721;7874;2786;415
Bund;m|d|o;1981-1990;Sonstige;373325;6389;43366;40851;18037;13730;39747;10251;54609;146345;67383;15862
Bund;m|d|o;1981-1990;dar. FREIE WÄHLER;61951;217;2483;5795;599;1847;2939;5196;892;41983;39969;173
Bund;m|d|o;1981-1990;dar. BSW;169899;3998;25116;23104;2929;6935;28175;2936;35722;40983;12886;15018
Bund;m|d|o;1966-1980;Summe;6031021;37600;907879;1572595;582212;169685;1773439;406728;295835;285046;154108;25984
Bund;m|d|o;1966-1980;ungültig;20601;14845;1494;1480;139;189;1541;180;404;329;226;
Bund;m|d|o;1966-1980;SPD;735866;1837;604894;45346;39390;2512;5026;8410;16662;11790;5470;563
Bund;m|d|o;1966-1980;CDU;1407262;2695;56186;1256978;20170;18877;26243;;8030;18083;12075;844
Bund;m|d|o;1966-1980;GRÜNE;657935;872;109857;40229;465480;2077;498;6551;19171;13201;2490;49
Bund;m|d|o;1966-1980;FDP;250785;580;8829;85436;2974;117206;11890;15261;1883;6725;4602;164
Bund;m|d|o;1966-1980;AfD;1825806;4924;12999;76720;968;10815;1657571;21518;7319;32972;20424;2101
Bund;m|d|o;1966-1980;CSU;368555;512;5929;;3564;3344;4841;336546;565;13254;11134;63
Bund;m|d|o;1966-1980;Die Linke;294218;766;54057;12556;33823;1704;3809;1374;178195;7934;2320;681
Bund;m|d|o;1966-1980;Sonstige;469992;10569;53633;53851;15705;12962;62020;16889;63606;180757;95368;21520
Bund;m|d|o;1966-1980;dar. FREIE WÄHLER;90489;715;3636;7736;841;1400;4104;9545;885;61628;59662;193
Bund;m|d|o;1966-1980;dar. BSW;246564;6497;33100;34158;3666;8522;47492;4847;50251;58030;22188;20732
Bund;m|d|o;1956-1965;Summe;4799597;40653;985827;1327649;409194;120204;1158895;345384;225994;185798;103405;26033
Bund;m|d|o;1956-1965;ungültig;25242;16948;2082;2024;192;326;2747;520;222;182;65;40
Bund;m|d|o;1956-1965;SPD;855541;1960;738242;45127;31894;2090;4054;7115;15381;9678;4988;337
Bund;m|d|o;1956-1965;CDU;1222816;3193;51578;1106120;13270;13372;18327;;6312;10644;7315;648
Bund;m|d|o;1956-1965;GRÜNE;465798;557;87065;23719;331322;1136;367;5225;9833;6574;1407;49
Bund;m|d|o;1956-1965;FDP;184919;708;7740;62584;1583;84280;9299;12173;1549;5004;3657;258
Bund;m|d|o;1956-1965;AfD;1171834;4978;9792;43445;524;7577;1071171;10678;5346;18322;11178;1404
Bund;m|d|o;1956-1965;CSU;323330;953;6173;;2783;2755;2195;296710;536;11226;9645;107
Bund;m|d|o;1956-1965;Die Linke;228959;969;43469;9499;19690;936;3543;857;142841;7154;1954;1705
Bund;m|d|o;1956-1965;Sonstige;321159;10388;39686;35131;7935;7732;47193;12106;43974;117014;63197;21486
Bund;m|d|o;1956-1965;dar. FREIE WÄHLER;62244;312;3055;4540;629;886;2344;7286;806;42385;41201;60
Bund;m|d|o;1956-1965;dar. BSW;195248;7581;28686;24620;2688;4890;40088;3325;38257;45113;15091;21074
Bund;m|d|o;<=1955;Summe;4915220;61526;1247745;1733073;277538;153725;667934;415803;228779;129095;62804;33047
Bund;m|d|o;<=1955;ungültig;43660;27064;4340;5236;396;700;3317;1695;319;594;344;83
Bund;m|d|o;<=1955;SPD;1146253;5709;1019074;52492;29646;3156;3031;7891;18175;7079;3698;596
Bund;m|d|o;<=1955;CDU;1616174;7067;56181;1502314;8133;18183;12361;;5640;6295;3364;483
Bund;m|d|o;<=1955;GRÜNE;316037;926;67829;18742;214507;1265;301;3209;6264;2993;610;23
Bund;m|d|o;<=1955;FDP;240031;757;8056;89892;1819;113566;6513;15036;962;3430;2600;192
Bund;m|d|o;<=1955;AfD;665332;3919;6984;27952;230;4951;603488;5893;4370;7546;4880;1116
Bund;m|d|o;<=1955;CSU;393519;1136;6751;;1923;3771;1674;369584;369;8310;6973;
