# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
HH;1;m|d|o;1981-1990;90806;410;18165;17284;22555;3540;14113;;11861;2879;962;
HH;1;m|d|o;1966-1980;124326;928;28416;31933;25790;3650;20648;;10610;2351;968;
HH;1;m|d|o;1956-1965;78214;771;25263;21104;11340;1784;11479;;5412;1062;607;
HH;1;m|d|o;<=1955;83827;1048;31247;30053;6800;2873;6928;;4348;530;310;
HH;1;w;Summe;557473;4594;163726;114909;121955;16090;48519;;74541;13141;5785;
HH;1;w;2001-2007;36415;259;8729;3395;7658;1122;1458;;12872;922;232;
HH;1;w;1991-2000;95978;266;19527;9479;30951;3490;5580;;23212;3473;1238;
HH;1;w;1981-1990;95078;429;21908;15897;27915;2837;8278;;14367;3446;1533;
HH;1;w;1966-1980;130889;1320;36247;29288;29898;3256;14988;;12709;3182;1546;
HH;1;w;1956-1965;86883;634;30470;19850;15424;1724;10622;;6806;1353;741;
HH;1;w;<=1955;112231;1686;46844;37000;10109;3661;7593;;4575;765;495;
HH;2;Summe;Summe;1050805;5185;237740;216935;201713;47115;113608;;151115;77394;3866;41919
HH;2;Summe;2001-2007;68727;233;9099;6803;10660;4264;5268;;25594;6807;230;3516
HH;2;Summe;1991-2000;179824;331;25850;19347;43138;9211;15323;;48310;18315;895;8892
HH;2;Summe;1981-1990;185884;407;31482;29812;47371;8365;22065;;28270;18112;768;9211
HH;2;Summe;1966-1980;255215;1196;52376;58867;54961;9688;35098;;25211;17818;900;9849
HH;2;Summe;1956-1965;165097;901;48224;38607;27347;5817;21712;;13508;8980;629;5781
HH;2;Summe;<=1955;196058;2118;70710;63499;18237;9769;14143;;10222;7362;444;4670
HH;2;m|d|o;Summe;493332;1997;103165;109532;89950;26804;66570;;61563;33750;1661;19111
HH;2;m|d|o;2001-2007;32312;132;4420;4224;5183;2756;3739;;8404;3455;117;1882
