# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;
# Für die Ergebnisse der ungültigen Stimmabgabe wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m|d|o;w
SN;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1567;592;975
SN;Beide;Beide Seiten mehrere Kreuze;2658;1060;1598
SN;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;139;122;17
SN;Beide;Beide Seiten sonstige Ursachen;1362;650;712
SN;1;Summe;9827;3820;6007
SN;1;Erststimmenseite leer oder durchgestrichen;8570;3408;5162
SN;1;Erststimmenseite mehrere Kreuze;902;309;593
SN;1;Sonstige Ursachen;355;103;252
SN;2;Summe;3030;1562;1468
SN;2;Zweitstimmenseite leer oder durchgestrichen;2216;1075;1141
SN;2;Zweitstimmenseite mehrere Kreuze;711;394;318
SN;2;Sonstige Ursachen;103;94;9
ST;Summe;Ungültige Erststimmen;17293;7207;10086
ST;Summe;Ungültige Zweitstimmen;10488;4755;5733
ST;Beide;Summe;7887;3509;4378
ST;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;3253;1647;1606
ST;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1189;365;824
ST;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;711;156;555
ST;Beide;Beide Seiten mehrere Kreuze;1639;855;784
ST;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;174;114;61
ST;Beide;Beide Seiten sonstige Ursachen;920;372;549
ST;1;Summe;9406;3698;5708
ST;1;Erststimmenseite leer oder durchgestrichen;8993;3580;5413
ST;1;Erststimmenseite mehrere Kreuze;260;92;169
ST;1;Sonstige Ursachen;153;26;127
ST;2;Summe;2601;1246;1355
ST;2;Zweitstimmenseite leer oder durchgestrichen;1941;1038;904
ST;2;Zweitstimmenseite mehrere Kreuze;489;107;382
ST;2;Sonstige Ursachen;171;102;69
TH;Summe;Ungültige Erststimmen;10248;3842;6406
TH;Summe;Ungültige Zweitstimmen;9314;3587;5727
TH;Beide;Summe;6947;2764;4183
TH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;780;428;351
