# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
HE;2;Zweitstimmenseite mehrere Kreuze;1847;827;1019
HE;2;Sonstige Ursachen;137;0;137
RP;Summe;Ungültige Erststimmen;31352;14930;16422
RP;Summe;Ungültige Zweitstimmen;22869;9747;13122
RP;Beide;Summe;16129;7197;8931
RP;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;8332;3854;4478
RP;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1327;393;934
RP;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;973;613;360
RP;Beide;Beide Seiten mehrere Kreuze;4374;1876;2498
RP;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;69;0;69
RP;Beide;Beide Seiten sonstige Ursachen;1054;461;593
RP;1;Summe;15223;7732;7491
RP;1;Erststimmenseite leer oder durchgestrichen;13822;7005;6818
RP;1;Erststimmenseite mehrere Kreuze;1290;655;636
RP;1;Sonstige Ursachen;111;73;38
RP;2;Summe;6740;2550;4191
RP;2;Zweitstimmenseite leer oder durchgestrichen;5236;2014;3222
RP;2;Zweitstimmenseite mehrere Kreuze;1477;536;941
RP;2;Sonstige Ursachen;28;0;28
BW;Summe;Ungültige Erststimmen;54574;24930;29644
BW;Summe;Ungültige Zweitstimmen;47657;20083;27574
BW;Beide;Summe;32368;14179;18188
