# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;1;Brief;m;1952 - 1961;1993157;16381;443838;605056;171594;133872;85825;241955;182490;112145;60548;19375
Bund;1;Brief;m;1951 und früher;2186404;23378;716241;706287;121788;122284;82096;144958;210430;58942;30244;9267
Bund;1;Brief;w;Summe;11991924;94575;2683593;3163119;595618;929523;554598;2025499;974563;970836;422272;191990
Bund;1;Brief;w;1997 - 2003;828749;5261;97889;147666;25203;92936;68895;255460;43236;92203;32852;10496
Bund;1;Brief;w;1987 - 1996;1560334;9215;203061;299184;71575;149094;111397;450398;86859;179551;70237;28374
Bund;1;Brief;w;1977 - 1986;1424182;10187;249149;301254;92300;124634;69886;308449;105094;163228;69306;34863
Bund;1;Brief;w;1962 - 1976;2988622;21907;616604;762109;190586;252323;114346;504234;232963;293551;133572;67791
Bund;1;Brief;w;1952 - 1961;2218107;18546;515745;693103;114702;147961;94404;305356;186970;141321;66912;31502
Bund;1;Brief;w;1951 und früher;2971929;29460;1001146;959804;101251;162575;95670;201602;319442;100981;49392;18964
Bund;2;Summe;Summe;Summe;46854508;412485;8775471;11955434;4803902;5319952;2270906;6852206;2402827;4061325;1127784;630153
Bund;2;Summe;Summe;1997 - 2003;3537017;18961;290701;549841;223374;721093;274030;843443;89447;526127;85970;39099
Bund;2;Summe;Summe;1987 - 1996;6046716;34822;615507;1042617;598388;895270;403724;1384522;198069;873798;187784;93218
Bund;2;Summe;Summe;1977 - 1986;6452983;41351;929919;1235499;902897;798092;309163;1191683;269000;775380;207340;133555
Bund;2;Summe;Summe;1962 - 1976;12584887;86447;2260334;3181809;1603713;1410448;513052;1824104;612997;1091982;344792;221194
Bund;2;Summe;Summe;1952 - 1961;8443359;79624;1712435;2648659;894856;751705;402897;980200;492160;480823;178970;95536
