# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien geringfügig vom amtlichen Endergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: AfD;Erststimme: FDP;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. dieBasis
BY;w;1977 - 1986;CSU;137361;214;;4400;1021;3557;284;2406;119304;6175;4370;177
BY;w;1977 - 1986;Sonstige;105835;767;;5951;5114;5025;1963;4223;13659;69133;38825;15919
BY;w;1977 - 1986;dar. FREIE WÄHLER;57736;119;;3406;2024;3211;280;1044;8883;38770;34503;1880
BY;w;1977 - 1986;dar. dieBasis;16272;62;;135;849;353;100;320;385;14068;769;12411
BY;w;1962 - 1976;Summe;1044880;7185;;175020;81364;72313;21664;151824;361561;173949;97059;33769
BY;w;1962 - 1976;Ungültig;4563;3003;;283;44;40;42;103;500;549;170;28
BY;w;1962 - 1976;CDU;;;;;;;;;;;;
BY;w;1962 - 1976;SPD;190276;1269;;122843;1257;4673;2254;21562;23943;12475;7744;660
BY;w;1962 - 1976;AfD;85927;310;;1445;67754;2021;582;117;4836;8863;4245;3619
BY;w;1962 - 1976;FDP;98358;578;;6080;1946;49482;434;3238;25230;11370;8538;843
BY;w;1962 - 1976;DIE LINKE;24463;53;;3537;322;327;13500;3933;680;2110;611;534
BY;w;1962 - 1976;GRÜNE;158550;205;;21456;61;2069;2215;112102;12266;8176;2478;269
BY;w;1962 - 1976;CSU;310385;1000;;9995;2601;6786;347;5530;272692;11433;8310;219
BY;w;1962 - 1976;Sonstige;172356;766;;9382;7378;6914;2291;5238;21415;118972;64963;27599
BY;w;1962 - 1976;dar. FREIE WÄHLER;94246;228;;4858;3498;4361;551;1304;15074;64372;58157;2516
BY;w;1962 - 1976;dar. dieBasis;28555;35;;390;1401;563;264;312;602;24989;1157;23043
BY;w;1952 - 1961;Summe;666980;5287;;140318;41170;36123;12544;77949;277380;76208;43259;14140
BY;w;1952 - 1961;Ungültig;3843;2360;;160;147;222;46;;707;200;42;47
BY;w;1952 - 1961;CDU;;;;;;;;;;;;
BY;w;1952 - 1961;SPD;153100;709;;109844;720;2340;1870;14613;16884;6122;3471;339
BY;w;1952 - 1961;AfD;42992;366;;842;34923;686;362;58;2820;2937;1235;1288
BY;w;1952 - 1961;FDP;49642;293;;3844;933;24480;172;1528;14572;3820;2725;401
BY;w;1952 - 1961;DIE LINKE;12561;;;2016;189;170;7041;1886;367;891;424;100
BY;w;1952 - 1961;GRÜNE;80336;171;;11904;148;955;1494;55205;7284;3176;1150;185
BY;w;1952 - 1961;CSU;246580;866;;7203;1553;4637;375;2860;222163;6922;4851;253
BY;w;1952 - 1961;Sonstige;77927;523;;4507;2559;2634;1183;1799;12582;52140;29361;11528
BY;w;1952 - 1961;dar. FREIE WÄHLER;45269;164;;2579;1407;1970;365;646;8717;29423;26859;969
BY;w;1952 - 1961;dar. dieBasis;11815;104;;100;370;50;218;74;294;10606;331;10000
BY;w;1951 und früher;Summe;806362;9987;;177303;27616;33336;7309;50544;450665;49604;29572;7112
BY;w;1951 und früher;Ungültig;8531;4370;;943;290;277;;;2473;178;91;29
BY;w;1951 und früher;CDU;;;;;;;;;;;;
BY;w;1951 und früher;SPD;186337;1193;;144420;613;2709;1046;11524;20511;4321;2219;267
BY;w;1951 und früher;AfD;28526;110;;830;23187;560;157;;2104;1577;547;577
BY;w;1951 und früher;FDP;44919;368;;3690;547;21332;;828;16177;1976;1418;127
BY;w;1951 und früher;DIE LINKE;8662;84;;1136;160;142;5069;1138;475;460;62;103
BY;w;1951 und früher;GRÜNE;53414;100;;11628;;568;353;33127;6119;1519;583;86
BY;w;1951 und früher;CSU;418165;2584;;10069;1168;5773;244;2984;388912;6431;4109;167
BY;w;1951 und früher;Sonstige;57808;1177;;4587;1650;1975;440;942;13893;33142;20544;5756
BY;w;1951 und früher;dar. FREIE WÄHLER;37849;268;;2803;1059;1663;31;234;10682;21110;19536;480
BY;w;1951 und früher;dar. dieBasis;5982;;;297;125;142;116;74;266;4963;144;4691
SL;Summe;Summe;Summe;583963;10850;159323;208329;56236;46793;30211;31091;;41130;15177;8698
SL;Summe;Summe;Ungültig;10295;7546;809;807;220;150;113;477;;173;113;
SL;Summe;Summe;CDU;135134;653;121145;5525;1161;3605;360;1659;;1025;663;67
SL;Summe;Summe;SPD;213777;1258;14130;173152;1326;2850;4134;13929;;2997;1332;223
SL;Summe;Summe;AfD;57629;219;1858;2511;48752;1518;854;128;;1790;690;731
SL;Summe;Summe;FDP;65945;253;15841;8206;1369;35039;964;1843;;2430;1090;188
SL;Summe;Summe;DIE LINKE;41130;118;1213;10157;420;618;20164;6813;;1626;370;185
SL;Summe;Summe;GRÜNE;;;;;;;;;;;;
SL;Summe;Summe;CSU;;;;;;;;;;;;
SL;Summe;Summe;Sonstige;60053;803;4326;7971;2987;3012;3623;6242;;31089;10919;7305
SL;Summe;Summe;dar. FREIE WÄHLER;11746;44;914;845;266;469;295;433;;8479;7851;105
SL;Summe;Summe;dar. dieBasis;8116;61;197;246;452;115;314;52;;6680;293;6099
SL;Summe;1997 - 2003;Summe;37449;880;5492;10743;2086;5785;3661;4235;;4567;892;565
SL;Summe;1997 - 2003;Ungültig;754;719;;;6;;;5;;24;;
SL;Summe;1997 - 2003;CDU;3744;;2891;272;59;257;83;80;;102;35;
SL;Summe;1997 - 2003;SPD;10435;37;908;6980;89;399;295;1365;;362;115;24
SL;Summe;1997 - 2003;AfD;2020;30;4;182;1575;109;37;;;85;30;17
SL;Summe;1997 - 2003;FDP;7792;;1172;1192;144;4360;164;275;;484;132;24
SL;Summe;1997 - 2003;DIE LINKE;5298;;62;1223;5;64;2376;1384;;183;51;
SL;Summe;1997 - 2003;GRÜNE;;;;;;;;;;;;
SL;Summe;1997 - 2003;CSU;;;;;;;;;;;;
SL;Summe;1997 - 2003;Sonstige;7407;94;454;895;209;596;706;1125;;3328;529;499
SL;Summe;1997 - 2003;dar. FREIE WÄHLER;699;;62;107;17;22;21;31;;438;310;
SL;Summe;1997 - 2003;dar. dieBasis;448;;3;;4;;101;;;339;;315
SL;Summe;1987 - 1996;Summe;68143;1399;12675;19486;8195;6839;4947;6689;;7913;2159;1191
SL;Summe;1987 - 1996;Ungültig;1443;1202;31;96;22;55;21;;;16;;
SL;Summe;1987 - 1996;CDU;8907;;7215;804;154;481;56;162;;36;24;
SL;Summe;1987 - 1996;SPD;18872;66;1801;13344;169;351;585;2173;;383;169;3
SL;Summe;1987 - 1996;AfD;8296;;304;426;7067;194;128;;;178;41;72
SL;Summe;1987 - 1996;FDP;9988;7;2376;1435;175;5059;209;457;;270;80;25
SL;Summe;1987 - 1996;DIE LINKE;7512;;160;1630;23;109;3104;2097;;390;27;21
SL;Summe;1987 - 1996;GRÜNE;;;;;;;;;;;;
SL;Summe;1987 - 1996;CSU;;;;;;;;;;;;
SL;Summe;1987 - 1996;Sonstige;13125;123;789;1750;585;591;844;1801;;6641;1818;1069
SL;Summe;1987 - 1996;dar. FREIE WÄHLER;1746;;106;81;34;64;21;112;;1327;1220;
SL;Summe;1987 - 1996;dar. dieBasis;1287;11;26;40;160;10;79;;;960;82;852
SL;Summe;1977 - 1986;Summe;72468;1592;16352;20702;10509;6786;4525;4735;;7267;2512;1759
SL;Summe;1977 - 1986;Ungültig;1294;1074;87;67;;;;58;;8;8;
SL;Summe;1977 - 1986;CDU;12617;107;10669;696;206;433;;339;;168;72;4
SL;Summe;1977 - 1986;SPD;21283;161;1813;15642;212;454;377;2058;;566;97;22
SL;Summe;1977 - 1986;AfD;11000;6;357;577;8966;292;236;48;;518;207;235
SL;Summe;1977 - 1986;FDP;10031;96;2423;1007;332;5108;204;371;;490;248;62
SL;Summe;1977 - 1986;DIE LINKE;5870;19;217;1442;28;61;3094;684;;324;22;59
SL;Summe;1977 - 1986;GRÜNE;;;;;;;;;;;;
SL;Summe;1977 - 1986;CSU;;;;;;;;;;;;
SL;Summe;1977 - 1986;Sonstige;10373;129;787;1271;765;438;614;1176;;5193;1858;1378
SL;Summe;1977 - 1986;dar. FREIE WÄHLER;1687;;140;117;29;59;48;5;;1289;1200;38
SL;Summe;1977 - 1986;dar. dieBasis;1520;28;21;48;122;25;47;22;;1207;103;1100
SL;Summe;1962 - 1976;Summe;148716;2513;36436;53240;17749;11741;8008;7795;;11233;4490;2934
SL;Summe;1962 - 1976;Ungültig;2107;1732;49;105;25;31;52;97;;15;15;
SL;Summe;1962 - 1976;CDU;30266;119;26384;1328;390;1119;95;456;;375;273;22
SL;Summe;1962 - 1976;SPD;55975;177;3678;44393;500;569;1408;4442;;810;369;108
SL;Summe;1962 - 1976;AfD;17839;85;522;742;15187;350;334;21;;597;271;220
SL;Summe;1962 - 1976;FDP;16902;83;4243;2047;446;8776;245;271;;792;445;47
SL;Summe;1962 - 1976;DIE LINKE;10056;48;428;2496;166;191;5053;1214;;460;187;77
SL;Summe;1962 - 1976;GRÜNE;;;;;;;;;;;;
SL;Summe;1962 - 1976;CSU;;;;;;;;;;;;
SL;Summe;1962 - 1976;Sonstige;15570;268;1132;2127;1036;706;823;1295;;8182;2928;2460
SL;Summe;1962 - 1976;dar. FREIE WÄHLER;3228;16;233;210;129;186;97;114;;2242;2042;61
SL;Summe;1962 - 1976;dar. dieBasis;2573;;43;106;47;;65;29;;2281;60;2090
SL;Summe;1952 - 1961;Summe;119990;2020;32320;48953;11072;8103;5611;5260;;6651;3161;1567
SL;Summe;1952 - 1961;Ungültig;2005;1369;151;200;13;37;30;157;;48;30;
SL;Summe;1952 - 1961;CDU;27774;118;25159;937;189;676;109;427;;160;98;41
SL;Summe;1952 - 1961;SPD;50968;364;2865;42753;195;519;907;2708;;658;367;65
SL;Summe;1952 - 1961;AfD;11544;25;343;395;10002;378;78;31;;292;128;128
SL;Summe;1952 - 1961;FDP;11416;41;2967;1515;225;5964;56;307;;341;165;30
SL;Summe;1952 - 1961;DIE LINKE;7713;27;189;1941;184;157;3918;1116;;182;47;27
SL;Summe;1952 - 1961;GRÜNE;;;;;;;;;;;;
SL;Summe;1952 - 1961;CSU;;;;;;;;;;;;
SL;Summe;1952 - 1961;Sonstige;8571;77;646;1213;264;373;514;514;;4970;2326;1275
SL;Summe;1952 - 1961;dar. FREIE WÄHLER;2605;28;164;216;30;61;89;43;;1974;1877;6
SL;Summe;1952 - 1961;dar. dieBasis;1522;;79;12;101;44;4;;;1281;20;1175
SL;Summe;1951 und früher;Summe;137197;2446;56048;55206;6625;7539;3459;2376;;3499;1963;682
SL;Summe;1951 und früher;Ungültig;2693;1450;491;339;155;27;9;160;;62;59;
SL;Summe;1951 und früher;CDU;51827;309;48828;1488;163;639;17;196;;185;161;
SL;Summe;1951 und früher;SPD;56242;453;3065;50040;162;560;563;1183;;218;214;
SL;Summe;1951 und früher;AfD;6930;73;328;190;5955;197;42;27;;119;13;59
SL;Summe;1951 und früher;FDP;9816;26;2660;1009;47;5772;86;161;;54;20;
SL;Summe;1951 und früher;DIE LINKE;4681;24;158;1425;15;36;2620;318;;86;37;
SL;Summe;1951 und früher;GRÜNE;;;;;;;;;;;;
SL;Summe;1951 und früher;CSU;;;;;;;;;;;;
SL;Summe;1951 und früher;Sonstige;5007;111;519;714;128;308;122;331;;2775;1459;624
SL;Summe;1951 und früher;dar. FREIE WÄHLER;1782;;208;113;27;76;19;129;;1209;1201;
SL;Summe;1951 und früher;dar. dieBasis;766;22;24;38;17;36;18;;;611;28;566
SL;m;Summe;Summe;282086;5698;73952;96206;34590;24452;14560;13584;;19043;7006;3413
SL;m;Summe;Ungültig;5323;4074;232;447;135;91;76;160;;109;65;
SL;m;Summe;CDU;61022;339;54806;2247;654;1691;218;546;;522;282;20
SL;m;Summe;SPD;98022;667;6373;80140;651;1169;1835;5764;;1423;614;67
SL;m;Summe;AfD;35773;119;1302;1348;30716;790;430;70;;999;421;330
SL;m;Summe;FDP;35912;60;9080;3965;842;19263;483;902;;1317;540;72
SL;m;Summe;DIE LINKE;20691;60;512;5413;213;272;10027;3318;;877;186;83
SL;m;Summe;GRÜNE;;;;;;;;;;;;
SL;m;Summe;CSU;;;;;;;;;;;;
SL;m;Summe;Sonstige;25342;379;1647;2647;1377;1176;1492;2825;;13798;4899;2842
SL;m;Summe;dar. FREIE WÄHLER;5500;;351;351;191;275;165;272;;3895;3654;5
SL;m;Summe;dar. dieBasis;3253;39;87;97;156;52;105;27;;2691;140;2432
SL;m;1997 - 2003;Summe;19362;610;2824;5103;1340;3886;1491;1865;;2244;502;154
SL;m;1997 - 2003;Ungültig;515;487;;;;;;5;;24;;
SL;m;1997 - 2003;CDU;1968;;1480;134;32;212;60;6;;45;2;
SL;m;1997 - 2003;SPD;4891;37;432;3320;58;183;139;503;;219;98;
SL;m;1997 - 2003;AfD;1272;;;141;1049;52;;;;30;4;17
SL;m;1997 - 2003;FDP;5054;;746;534;101;3143;58;158;;315;43;
SL;m;1997 - 2003;DIE LINKE;2593;;3;724;;46;1008;705;;106;39;
SL;m;1997 - 2003;GRÜNE;;;;;;;;;;;;
SL;m;1997 - 2003;CSU;;;;;;;;;;;;
SL;m;1997 - 2003;Sonstige;3069;86;163;250;100;250;227;488;;1505;316;137
SL;m;1997 - 2003;dar. FREIE WÄHLER;401;;;46;17;;;27;;310;188;
SL;m;1997 - 2003;dar. dieBasis;92;;;;;;;;;92;;92
SL;m;1987 - 1996;Summe;34668;865;6445;9204;4989;3802;2461;2865;;4038;1042;592
SL;m;1987 - 1996;Ungültig;878;704;;91;22;44;;;;16;;
SL;m;1987 - 1996;CDU;4402;;3661;415;76;165;32;17;;36;24;
SL;m;1987 - 1996;SPD;8312;30;673;6008;78;169;251;928;;174;51;
SL;m;1987 - 1996;AfD;5127;;228;189;4482;101;44;;;83;17;22
SL;m;1987 - 1996;FDP;6044;7;1508;804;104;2999;146;287;;190;61;25
SL;m;1987 - 1996;DIE LINKE;3963;;107;971;2;35;1743;890;;214;7;21
SL;m;1987 - 1996;GRÜNE;;;;;;;;;;;;
SL;m;1987 - 1996;CSU;;;;;;;;;;;;
SL;m;1987 - 1996;Sonstige;5943;123;268;725;225;289;245;742;;3326;882;523
SL;m;1987 - 1996;dar. FREIE WÄHLER;901;;79;22;30;21;21;61;;668;663;
SL;m;1987 - 1996;dar. dieBasis;572;11;;17;26;4;26;;;488;55;424
SL;m;1977 - 1986;Summe;37035;914;8200;9842;6627;3795;2216;2008;;3432;1117;721
SL;m;1977 - 1986;Ungültig;671;618;;37;;;;8;;8;8;
SL;m;1977 - 1986;CDU;5857;77;5070;233;112;131;;151;;82;19;4
SL;m;1977 - 1986;SPD;10132;58;1025;7570;85;236;134;761;;263;29;
SL;m;1977 - 1986;AfD;6960;2;195;354;5767;229;149;21;;243;154;47
SL;m;1977 - 1986;FDP;5611;44;1492;476;184;3032;55;116;;213;120;
SL;m;1977 - 1986;DIE LINKE;3011;19;74;726;20;17;1587;389;;179;22;24
SL;m;1977 - 1986;GRÜNE;;;;;;;;;;;;
SL;m;1977 - 1986;CSU;;;;;;;;;;;;
SL;m;1977 - 1986;Sonstige;4792;97;344;447;458;151;291;562;;2443;765;647
SL;m;1977 - 1986;dar. FREIE WÄHLER;817;;83;72;21;36;48;;;557;540;
SL;m;1977 - 1986;dar. dieBasis;737;28;21;;83;;26;;;579;30;549
SL;m;1962 - 1976;Summe;72554;1333;18253;24041;11114;5599;3788;3412;;5014;2127;1045
SL;m;1962 - 1976;Ungültig;1189;985;17;71;17;;46;38;;15;15;
SL;m;1962 - 1976;CDU;14829;56;13208;450;229;539;53;44;;249;173;
SL;m;1962 - 1976;SPD;25708;136;1638;20653;292;150;587;1911;;340;172;21
SL;m;1962 - 1976;AfD;11163;85;339;299;9739;140;160;21;;378;190;103
SL;m;1962 - 1976;FDP;8627;5;2361;895;289;4398;149;149;;381;206;16
SL;m;1962 - 1976;DIE LINKE;4748;14;193;1159;70;118;2346;627;;220;71;19
SL;m;1962 - 1976;GRÜNE;;;;;;;;;;;;
SL;m;1962 - 1976;CSU;;;;;;;;;;;;
SL;m;1962 - 1976;Sonstige;6289;51;497;513;478;254;446;622;;3429;1300;886
SL;m;1962 - 1976;dar. FREIE WÄHLER;1475;;63;44;95;106;24;66;;1078;993;5
SL;m;1962 - 1976;dar. dieBasis;1046;;26;71;21;;40;27;;860;28;770
SL;m;1952 - 1961;Summe;58613;909;14845;24048;6609;3965;2842;2456;;2938;1439;697
SL;m;1952 - 1961;Ungültig;999;655;84;115;;37;30;74;;4;;
SL;m;1952 - 1961;CDU;12362;11;11149;436;91;335;64;218;;58;36;16
SL;m;1952 - 1961;SPD;24760;191;1285;20949;76;188;471;1265;;335;172;46
SL;m;1952 - 1961;AfD;7069;25;256;256;6136;167;42;;;187;48;104
SL;m;1952 - 1961;FDP;6146;;1777;791;140;3087;41;124;;185;94;30
SL;m;1952 - 1961;DIE LINKE;3844;27;80;1006;107;28;1933;523;;140;47;19
SL;m;1952 - 1961;GRÜNE;;;;;;;;;;;;
SL;m;1952 - 1961;CSU;;;;;;;;;;;;
SL;m;1952 - 1961;Sonstige;3433;;214;494;59;125;261;251;;2028;1044;482
SL;m;1952 - 1961;dar. FREIE WÄHLER;1149;;32;137;;61;73;34;;811;808;
SL;m;1952 - 1961;dar. dieBasis;591;;29;9;26;27;4;;;497;;451
SL;m;1951 und früher;Summe;59854;1067;23385;23968;3911;3405;1763;978;;1378;779;204
SL;m;1951 und früher;Ungültig;1071;625;130;133;96;10;;34;;42;42;
SL;m;1951 und früher;CDU;21604;195;20238;578;114;309;9;109;;52;27;
SL;m;1951 und früher;SPD;24220;215;1321;21640;63;244;252;394;;92;92;
SL;m;1951 und früher;AfD;4182;6;284;109;3542;102;35;27;;77;9;36
SL;m;1951 und früher;FDP;4429;4;1196;465;25;2604;35;68;;33;16;
SL;m;1951 und früher;DIE LINKE;2533;;54;827;15;27;1410;185;;16;;
SL;m;1951 und früher;GRÜNE;;;;;;;;;;;;
SL;m;1951 und früher;CSU;;;;;;;;;;;;
SL;m;1951 und früher;Sonstige;1815;22;162;217;58;107;22;161;;1067;593;168
SL;m;1951 und früher;dar. FREIE WÄHLER;757;;94;30;27;51;;84;;471;462;
SL;m;1951 und früher;dar. dieBasis;215;;11;;;21;9;;;173;28;145
SL;w;Summe;Summe;301877;5152;85371;112123;21646;22341;15651;17507;;22087;8170;5285
SL;w;Summe;Ungültig;4972;3472;577;360;85;59;37;317;;64;47;
SL;w;Summe;CDU;74112;315;66340;3278;507;1914;142;1114;;503;381;47
SL;w;Summe;SPD;115755;591;7757;93011;675;1681;2299;8165;;1574;718;156
SL;w;Summe;AfD;21856;100;555;1163;18036;728;424;58;;791;269;401
SL;w;Summe;FDP;30033;193;6762;4241;527;15776;481;941;;1113;550;116
SL;w;Summe;DIE LINKE;20439;58;702;4745;207;347;10137;3494;;750;185;102
SL;w;Summe;GRÜNE;;;;;;;;;;;;
SL;w;Summe;CSU;;;;;;;;;;;;
SL;w;Summe;Sonstige;34711;424;2679;5324;1610;1836;2131;3417;;17291;6020;4463
SL;w;Summe;dar. FREIE WÄHLER;6246;44;563;495;75;194;130;161;;4583;4197;100
SL;w;Summe;dar. dieBasis;4863;22;110;149;296;63;209;25;;3990;152;3667
SL;w;1997 - 2003;Summe;18087;270;2668;5640;747;1899;2170;2370;;2323;390;410
SL;w;1997 - 2003;Ungültig;238;232;;;6;;;;;;;
SL;w;1997 - 2003;CDU;1776;;1411;138;27;45;24;74;;57;33;
SL;w;1997 - 2003;SPD;5544;;477;3660;31;216;156;862;;143;16;24
SL;w;1997 - 2003;AfD;747;30;4;41;526;57;37;;;54;27;
SL;w;1997 - 2003;FDP;2738;;427;658;43;1217;106;118;;169;89;24
SL;w;1997 - 2003;DIE LINKE;2705;;59;498;5;18;1369;680;;77;11;
SL;w;1997 - 2003;GRÜNE;;;;;;;;;;;;
SL;w;1997 - 2003;CSU;;;;;;;;;;;;
SL;w;1997 - 2003;Sonstige;4338;8;291;644;109;346;479;637;;1823;214;362
SL;w;1997 - 2003;dar. FREIE WÄHLER;298;;62;61;;22;21;4;;127;121;
SL;w;1997 - 2003;dar. dieBasis;356;;3;;4;;101;;;247;;223
SL;w;1987 - 1996;Summe;33475;534;6230;10282;3206;3037;2486;3825;;3875;1117;600
SL;w;1987 - 1996;Ungültig;565;498;31;5;;11;21;;;;;
SL;w;1987 - 1996;CDU;4505;;3553;389;77;316;25;144;;;;
SL;w;1987 - 1996;SPD;10560;36;1127;7336;91;182;333;1245;;209;118;3
SL;w;1987 - 1996;AfD;3169;;76;236;2585;93;84;;;95;24;50
SL;w;1987 - 1996;FDP;3943;;869;631;71;2059;64;170;;80;19;
SL;w;1987 - 1996;DIE LINKE;3550;;53;659;21;73;1360;1206;;177;20;
SL;w;1987 - 1996;GRÜNE;;;;;;;;;;;;
SL;w;1987 - 1996;CSU;;;;;;;;;;;;
SL;w;1987 - 1996;Sonstige;7182;;521;1025;361;302;600;1059;;3315;936;546
SL;w;1987 - 1996;dar. FREIE WÄHLER;845;;27;60;4;44;;51;;659;558;
SL;w;1987 - 1996;dar. dieBasis;715;;26;24;134;6;54;;;472;27;429
SL;w;1977 - 1986;Summe;35433;678;8152;10859;3882;2991;2309;2727;;3835;1395;1038
SL;w;1977 - 1986;Ungültig;622;456;87;30;;;;50;;;;
SL;w;1977 - 1986;CDU;6760;30;5599;462;94;302;;188;;85;52;
SL;w;1977 - 1986;SPD;11152;104;789;8072;127;218;243;1297;;303;69;22
SL;w;1977 - 1986;AfD;4040;4;162;223;3199;63;87;27;;275;54;188
SL;w;1977 - 1986;FDP;4420;52;930;532;148;2076;150;256;;277;128;62
SL;w;1977 - 1986;DIE LINKE;2858;;142;716;8;44;1507;296;;145;;35
SL;w;1977 - 1986;GRÜNE;;;;;;;;;;;;
SL;w;1977 - 1986;CSU;;;;;;;;;;;;
SL;w;1977 - 1986;Sonstige;5581;32;443;824;307;287;323;614;;2749;1093;731
SL;w;1977 - 1986;dar. FREIE WÄHLER;869;;57;45;7;23;;5;;732;660;38
SL;w;1977 - 1986;dar. dieBasis;784;;;48;39;25;21;22;;628;73;551
SL;w;1962 - 1976;Summe;76162;1180;18184;29199;6635;6142;4220;4383;;6219;2363;1888
SL;w;1962 - 1976;Ungültig;918;747;32;35;8;31;6;59;;;;
SL;w;1962 - 1976;CDU;15437;63;13176;878;161;580;41;412;;126;100;22
SL;w;1962 - 1976;SPD;30267;40;2040;23741;207;418;821;2531;;470;197;87
SL;w;1962 - 1976;AfD;6676;;183;443;5448;210;173;;;219;81;117
SL;w;1962 - 1976;FDP;8275;78;1881;1152;157;4378;96;121;;411;240;30
SL;w;1962 - 1976;DIE LINKE;5308;34;235;1337;96;73;2706;587;;240;116;58
SL;w;1962 - 1976;GRÜNE;;;;;;;;;;;;
SL;w;1962 - 1976;CSU;;;;;;;;;;;;
SL;w;1962 - 1976;Sonstige;9281;217;636;1614;558;452;377;673;;4753;1629;1574
SL;w;1962 - 1976;dar. FREIE WÄHLER;1754;16;170;167;34;81;74;48;;1164;1049;56
SL;w;1962 - 1976;dar. dieBasis;1527;;17;36;26;;25;2;;1421;32;1320
SL;w;1952 - 1961;Summe;61377;1112;17475;24905;4463;4138;2768;2804;;3713;1722;870
SL;w;1952 - 1961;Ungültig;1006;714;67;85;13;;;83;;44;30;
SL;w;1952 - 1961;CDU;15412;108;14010;501;99;341;44;208;;101;62;24
SL;w;1952 - 1961;SPD;26208;173;1581;21803;119;331;436;1442;;324;195;19
SL;w;1952 - 1961;AfD;4475;;87;139;3866;211;37;31;;105;80;24
SL;w;1952 - 1961;FDP;5270;41;1191;723;85;2877;14;183;;156;71;
SL;w;1952 - 1961;DIE LINKE;3869;;109;935;78;129;1985;592;;41;;9
SL;w;1952 - 1961;GRÜNE;;;;;;;;;;;;
SL;w;1952 - 1961;CSU;;;;;;;;;;;;
SL;w;1952 - 1961;Sonstige;5138;77;431;718;205;248;252;264;;2942;1283;793
SL;w;1952 - 1961;dar. FREIE WÄHLER;1456;28;132;79;30;;16;8;;1162;1069;6
SL;w;1952 - 1961;dar. dieBasis;931;;51;3;75;17;;;;784;20;724
SL;w;1951 und früher;Summe;77343;1379;32663;31238;2713;4134;1697;1398;;2121;1184;478
SL;w;1951 und früher;Ungültig;1622;825;361;206;59;17;9;125;;20;17;
SL;w;1951 und früher;CDU;30223;114;28591;910;49;329;8;87;;134;134;
SL;w;1951 und früher;SPD;32022;238;1744;28400;99;316;311;789;;126;123;
SL;w;1951 und früher;AfD;2749;67;43;81;2413;94;7;;;43;3;22
SL;w;1951 und früher;FDP;5387;22;1464;545;23;3168;51;93;;21;4;
SL;w;1951 und früher;DIE LINKE;2148;24;104;598;;10;1210;133;;70;37;
SL;w;1951 und früher;GRÜNE;;;;;;;;;;;;
SL;w;1951 und früher;CSU;;;;;;;;;;;;
SL;w;1951 und früher;Sonstige;3192;89;357;497;70;200;100;171;;1708;866;456
SL;w;1951 und früher;dar. FREIE WÄHLER;1024;;114;83;;25;19;45;;739;739;
SL;w;1951 und früher;dar. dieBasis;551;22;13;38;17;15;8;;;438;;421
BE;Summe;Summe;Summe;1856903;31631;344838;417163;147134;129678;260242;380581;;145636;14163;19601
BE;Summe;Summe;Ungültig;30322;13793;4237;4556;1222;1049;1742;1125;;2598;;1740
BE;Summe;Summe;CDU;289691;4827;253331;9136;3224;8228;4130;4255;;2560;865;87
BE;Summe;Summe;SPD;428289;4360;22306;322725;2320;4628;33503;30577;;7871;1294;413
BE;Summe;Summe;AfD;153694;1646;7197;1904;129881;2058;3179;280;;7550;895;4557
BE;Summe;Summe;FDP;165937;1212;35670;9555;3066;102081;3144;5905;;5303;1037;1092
BE;Summe;Summe;DIE LINKE;209052;1234;3060;14583;1115;1099;163728;17161;;7073;218;1178
BE;Summe;Summe;GRÜNE;408533;923;8924;39325;86;2415;34795;312085;;9980;214;439
BE;Summe;Summe;CSU;;;;;;;;;;;;
BE;Summe;Summe;Sonstige;171385;3637;10113;15380;6220;8120;16020;9194;;102700;9641;10095
BE;Summe;Summe;dar. FREIE WÄHLER;17070;747;1060;1040;981;1215;693;126;;11208;7099;2127
BE;Summe;Summe;dar. dieBasis;;;;;;;;;;;;
BE;Summe;1997 - 2003;Summe;135448;1617;11463;22696;4863;15819;23227;40615;;15147;727;1592
BE;Summe;1997 - 2003;Ungültig;1241;914;28;;45;;;75;;179;;90
