# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Kumulation einzelner Merkmalsgruppen in den Länderergebnissen weichen daher geringfügig zu den entsprechenden Bundesergebnissen ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: FDP;Erststimme: AfD;Erststimme: Sonstige;Erststimme: dar. NPD;Erststimme: dar. FREIE WÄHLER
Bund;m;1983 - 1992;CSU;146982;322;;6017;656;3551;124286;4472;1769;5909;0;3725
Bund;m;1983 - 1992;FDP;403389;1046;134622;37401;4954;12024;26634;169135;8759;8815;64;3978
Bund;m;1983 - 1992;AfD;480174;1903;30113;27253;8685;3048;11059;16285;366229;15598;2437;5419
Bund;m;1983 - 1992;Sonstige;299229;7135;23242;37682;49230;25638;10825;17317;33790;94370;3146;27964
Bund;m;1983 - 1992;dar. NPD;29052;365;1661;2055;658;512;469;1017;17919;4395;2730;457
Bund;m;1983 - 1992;dar. FREIE WÄHLER;37952;477;4507;3973;1670;1020;4062;2121;2194;17928;0;15975
Bund;m;1973 - 1982;Summe;3089525;30587;809771;601921;273897;238333;206918;237284;548843;141972;6237;50058
Bund;m;1973 - 1982;Ungültig;19901;15951;862;667;454;259;207;271;867;364;31;93
Bund;m;1973 - 1982;CDU;665699;1681;553958;41921;7946;18980;;26703;7892;6617;156;3121
Bund;m;1973 - 1982;SPD;456033;1464;26786;357289;15446;24799;4810;7556;10087;7795;50;3269
Bund;m;1973 - 1982;DIE LINKE;289045;678;10190;44178;191533;18861;2060;3357;6797;11391;40;1946
Bund;m;1973 - 1982;GRÜNE;281653;502;28373;75528;12704;144109;7038;5299;934;7165;0;1267
Bund;m;1973 - 1982;CSU;165918;438;;5430;609;4343;143010;4977;1776;5335;0;3452
Bund;m;1973 - 1982;FDP;387886;969;137758;29420;4518;9516;29627;158707;9806;7565;50;3633
Bund;m;1973 - 1982;AfD;604999;2748;36274;24606;12327;2919;11648;18466;478591;17421;2568;5909
Bund;m;1973 - 1982;Sonstige;218392;6155;15568;22882;28361;14547;8520;11946;32094;78319;3343;27370
Bund;m;1973 - 1982;dar. NPD;27959;316;1686;1673;1012;347;333;1017;17049;4526;2980;631
Bund;m;1973 - 1982;dar. FREIE WÄHLER;38216;503;3840;2887;1045;1134;4518;2126;2538;19626;75;17232
Bund;m;1958 - 1972;Summe;6930258;71774;1805613;1669626;579245;511791;426407;455296;1195153;215355;9099;98115
Bund;m;1958 - 1972;Ungültig;47053;35321;3399;3593;1027;317;494;450;1858;593;70;146
Bund;m;1958 - 1972;CDU;1538881;4638;1316557;82070;15223;43498;;51489;16694;8711;120;4944
Bund;m;1958 - 1972;SPD;1379820;4470;62906;1146553;38363;61644;13192;16046;21023;15621;184;8307
Bund;m;1958 - 1972;DIE LINKE;643130;2706;21155;104980;433195;36601;3648;7437;17357;16051;184;5668
Bund;m;1958 - 1972;GRÜNE;607369;1667;56363;179389;19227;318305;11067;8083;1893;11375;0;3568
Bund;m;1958 - 1972;CSU;363559;1094;;12131;1056;8160;319269;8750;3581;9517;0;6139
Bund;m;1958 - 1972;FDP;748468;3406;261787;61400;9173;19920;46356;315577;18905;11945;128;6973
Bund;m;1958 - 1972;AfD;1324465;8840;65454;50892;32716;6046;21956;33011;1073445;32105;3478;11926
Bund;m;1958 - 1972;Sonstige;277513;9631;17992;28618;29265;17300;10424;14452;40395;109436;4936;50444
Bund;m;1958 - 1972;dar. NPD;29986;612;1420;1228;1470;225;350;855;17272;6555;4529;682
Bund;m;1958 - 1972;dar. FREIE WÄHLER;71178;910;4772;6454;3024;1974;5981;4484;3351;40227;94;36121
Bund;m;1948 - 1957;Summe;3741274;50077;1020786;1029585;362295;180545;236940;235985;553360;71700;3468;35474
Bund;m;1948 - 1957;Ungültig;34896;23844;3242;2848;1170;329;736;627;1705;394;56;140
Bund;m;1948 - 1957;CDU;874612;5022;774370;39421;8001;12556;;23419;8754;3069;0;1742
Bund;m;1948 - 1957;SPD;893330;3731;36310;771237;25942;24588;8606;8935;8774;5206;17;2625
Bund;m;1948 - 1957;DIE LINKE;413595;2041;13422;72098;286839;18113;1666;4760;9094;5563;18;2174
Bund;m;1948 - 1957;GRÜNE;223251;1105;18984;74305;8642;109794;3650;3425;825;2522;0;972
Bund;m;1948 - 1957;CSU;206169;947;;6615;530;2229;185568;4348;2126;3808;0;2438
Bund;m;1948 - 1957;FDP;392710;3115;136970;31142;4747;6761;24293;172339;9030;4314;0;2608
Bund;m;1948 - 1957;AfD;619595;6592;32535;24262;17888;2230;9368;14378;500578;11763;1323;4101
Bund;m;1948 - 1957;Sonstige;83114;3680;4954;7658;8537;3944;3053;3753;12474;35061;2054;18675
Bund;m;1948 - 1957;dar. NPD;9111;514;378;406;308;171;159;401;4444;2329;1904;177
Bund;m;1948 - 1957;dar. FREIE WÄHLER;27586;542;1448;2561;1183;695;1829;1370;1521;16438;22;14983
Bund;m;1947 und früher;Summe;4300726;71471;1551015;1194287;293808;109704;350359;269767;418692;41623;1905;21398
Bund;m;1947 und früher;Ungültig;65480;39883;10255;7694;1153;544;2118;1396;2049;387;0;102
Bund;m;1947 und früher;CDU;1364615;7338;1266295;38689;6396;8031;;29694;6179;1994;139;1163
Bund;m;1947 und früher;SPD;1108252;6759;38670;990739;23994;18960;8502;9058;8298;3272;25;1862
Bund;m;1947 und früher;DIE LINKE;324971;2240;11157;51818;237170;7991;1253;3628;6948;2765;112;944
Bund;m;1947 und früher;GRÜNE;137652;1141;15941;45445;3811;64449;2762;2384;525;1193;0;538
Bund;m;1947 und früher;CSU;318037;1580;;6722;333;2140;296086;6241;1813;3123;0;1885
Bund;m;1947 und früher;FDP;454115;2814;172622;27548;3128;5077;28948;201809;8954;3215;24;1545
Bund;m;1947 und früher;AfD;479397;7180;32173;21408;13976;987;7631;12867;378056;5118;479;1909
Bund;m;1947 und früher;Sonstige;48208;2535;3903;4224;3847;1526;3058;2689;5869;20556;1126;11449
Bund;m;1947 und früher;dar. NPD;4781;282;372;344;187;100;124;109;2120;1143;989;38
Bund;m;1947 und früher;dar. FREIE WÄHLER;18081;433;940;1449;625;394;2041;1234;1017;9947;0;9570
Bund;w;Summe;Summe;24218361;312689;7733992;5861855;1963700;2258086;1738279;1625364;2019373;705024;16926;311289
Bund;w;Summe;Ungültig;260657;170420;33982;23134;4846;3923;6181;5002;9502;3668;147;1365
Bund;w;Summe;CDU;7148426;33949;6014456;422525;85550;266978;;242838;44557;37574;535;18901
Bund;w;Summe;SPD;4905894;24172;278281;3986206;144680;249657;58170;71873;51844;41010;541;20883
Bund;w;Summe;DIE LINKE;2107769;8522;108801;315148;1384343;162774;14779;31691;36814;44897;239;11629
Bund;w;Summe;GRÜNE;2452400;6726;295726;589933;106742;1293070;64879;44384;8358;42582;131;12745
Bund;w;Summe;CSU;1589205;7302;;60991;7158;50472;1369825;42067;9377;42013;0;26185
Bund;w;Summe;FDP;2332563;10253;761540;200554;34488;71329;134128;1040113;44745;35413;229;21297
Bund;w;Summe;AfD;2201912;18875;124997;115830;61305;14833;36060;70821;1700602;58589;5881;21057
Bund;w;Summe;Sonstige;1219535;32471;116208;147534;134587;145050;54258;76574;113573;399279;9223;177226
Bund;w;Summe;dar. NPD;64417;1239;4191;4948;2756;1105;882;3528;32808;12960;7510;2135
Bund;w;Summe;dar. FREIE WÄHLER;254521;3075;21832;22627;9472;10875;24562;15749;11390;134939;196;121497
Bund;w;1993 - 1999;Summe;1674861;17375;416297;419594;160142;277309;110334;114877;87000;71934;873;22719
Bund;w;1993 - 1999;Ungültig;11114;8854;489;566;90;289;30;227;338;231;0;0
Bund;w;1993 - 1999;CDU;365388;1264;267615;41674;4843;28419;;16106;2118;3348;0;1328
Bund;w;1993 - 1999;SPD;309981;658;30746;216202;12225;28488;6689;7549;3537;3886;24;1534
Bund;w;1993 - 1999;DIE LINKE;173620;422;7321;31281;96352;26908;1601;2639;1337;5758;0;813
Bund;w;1993 - 1999;GRÜNE;295852;729;37146;70453;19921;143958;9327;5929;795;7593;0;1359
Bund;w;1993 - 1999;CSU;91751;323;;5834;703;5256;72166;3367;439;3664;0;2124
Bund;w;1993 - 1999;FDP;160954;449;48595;19707;2867;9385;10453;63557;2656;3286;0;1712
Bund;w;1993 - 1999;AfD;99385;582;7584;8792;2603;1699;2543;5243;66321;4017;461;1188
Bund;w;1993 - 1999;Sonstige;166817;4093;16800;25086;20536;32907;7524;10260;9460;40151;389;12661
Bund;w;1993 - 1999;dar. NPD;5977;55;455;645;211;146;123;279;3244;819;304;126
Bund;w;1993 - 1999;dar. FREIE WÄHLER;18106;131;2029;1928;613;1197;2198;1458;818;7734;0;6694
Bund;w;1983 - 1992;Summe;3038245;28888;805257;706909;303343;385600;196089;197557;268683;145918;4603;53815
Bund;w;1983 - 1992;Ungültig;20091;15995;1365;980;296;296;123;251;513;273;0;103
Bund;w;1983 - 1992;CDU;730985;2079;561821;67236;12161;44958;;28769;6547;7415;115;2958
Bund;w;1983 - 1992;SPD;534780;1134;40336;396726;21873;39832;7433;10154;9364;7928;149;3279
Bund;w;1983 - 1992;DIE LINKE;314301;705;15034;48939;194112;33350;2719;4038;4640;10764;31;1828
Bund;w;1983 - 1992;GRÜNE;402395;601;45055;96765;25069;206993;11018;6100;1524;9270;20;2302
Bund;w;1983 - 1992;CSU;175609;486;;9865;1105;8634;141156;5467;1107;7790;0;5168
Bund;w;1983 - 1992;FDP;280004;563;93030;27720;4889;10111;16648;115085;6204;5755;60;3023
Bund;w;1983 - 1992;AfD;290646;1650;19158;22389;6813;2308;5340;10287;211857;10844;1539;3792
Bund;w;1983 - 1992;Sonstige;289433;5675;29458;36290;37026;39120;11651;17405;26929;85879;2690;31362
Bund;w;1983 - 1992;dar. NPD;20359;332;1266;1833;740;304;171;1018;10781;3913;2087;719
Bund;w;1983 - 1992;dar. FREIE WÄHLER;45244;292;5183;4223;1479;2432;4744;3092;2141;21658;49;19097
Bund;w;1973 - 1982;Summe;3137743;31482;929283;665387;261406;360614;219318;222845;319046;128361;3678;55967
Bund;w;1973 - 1982;Ungültig;22593;17263;1791;1298;204;181;211;438;823;384;0;18
Bund;w;1973 - 1982;CDU;852980;1950;679118;63005;12410;44818;;36119;7917;7644;137;4234
Bund;w;1973 - 1982;SPD;511405;1575;34200;392856;17074;35387;6987;9559;7929;5838;29;3204
Bund;w;1973 - 1982;DIE LINKE;274576;771;14676;40107;175357;23074;2713;4647;5563;7668;67;1776
Bund;w;1973 - 1982;GRÜNE;396113;509;50273;89988;16608;212296;10836;6746;1228;7628;0;2192
Bund;w;1973 - 1982;CSU;197785;624;;8745;1232;9270;163451;5804;1389;7269;0;4807
Bund;w;1973 - 1982;FDP;317016;949;107188;26611;5245;10434;20440;132830;6523;6796;29;4306
Bund;w;1973 - 1982;AfD;348561;2100;20872;19071;8930;2234;6519;13125;265618;10092;1301;3907
Bund;w;1973 - 1982;Sonstige;216713;5741;21165;23705;24346;22919;8161;13578;22056;75042;2114;31522
Bund;w;1973 - 1982;dar. NPD;14283;116;878;823;423;323;220;1055;7355;3090;1775;550
