# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;
# ;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
BW;2;Summe;19579;8298;11281
BW;2;Zweitstimmenseite leer oder durchgestrichen;16586;7031;9555
BW;2;Zweitstimmenseite mehrere Kreuze;2896;1232;1665
BW;2;Sonstige Ursachen;97;36;61
BY;Summe;Ungültige Erststimmen;69317;33893;35424
BY;Summe;Ungültige Zweitstimmen;47796;22228;25568
BY;Beide;Summe;27799;14144;13655
BY;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;9456;4869;4588
BY;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;2349;1157;1192
BY;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;3131;1047;2084
BY;Beide;Beide Seiten mehrere Kreuze;8070;4086;3984
BY;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;323;178;146
BY;Beide;Beide Seiten sonstige Ursachen;4470;2807;1662
BY;1;Summe;41518;19749;21769
BY;1;Erststimmenseite leer oder durchgestrichen;19455;9092;10363
BY;1;Erststimmenseite mehrere Kreuze;13936;7034;6902
BY;1;Sonstige Ursachen;8127;3623;4504
BY;2;Summe;19997;8085;11912
BY;2;Zweitstimmenseite leer oder durchgestrichen;9524;3808;5716
BY;2;Zweitstimmenseite mehrere Kreuze;7666;3136;4530
BY;2;Sonstige Ursachen;2807;1141;1666
SL;Summe;Ungültige Erststimmen;10008;5004;5004
SL;Summe;Ungültige Zweitstimmen;10153;4764;5389
SL;Beide;Summe;7522;3641;3881
SL;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;4120;1820;2300
SL;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;384;170;215
SL;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;468;202;266
SL;Beide;Beide Seiten mehrere Kreuze;1096;508;588
SL;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;243;140;104
SL;Beide;Beide Seiten sonstige Ursachen;1211;802;409
SL;1;Summe;2486;1363;1123
SL;1;Erststimmenseite leer oder durchgestrichen;1969;1104;864
SL;1;Erststimmenseite mehrere Kreuze;398;215;183
SL;1;Sonstige Ursachen;120;44;76
SL;2;Summe;2631;1124;1508
SL;2;Zweitstimmenseite leer oder durchgestrichen;1792;737;1055
SL;2;Zweitstimmenseite mehrere Kreuze;498;240;258
SL;2;Sonstige Ursachen;342;146;195
BE;Summe;Ungültige Erststimmen;26660;12539;14121
BE;Summe;Ungültige Zweitstimmen;23092;9960;13132
BE;Beide;Summe;18237;8423;9814
BE;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;8246;3632;4614
BE;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1725;679;1047
BE;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1116;395;721
BE;Beide;Beide Seiten mehrere Kreuze;4535;2098;2437
BE;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;377;236;141
BE;Beide;Beide Seiten sonstige Ursachen;2237;1383;854
BE;1;Summe;8423;4115;4308
BE;1;Erststimmenseite leer oder durchgestrichen;6692;3274;3418
BE;1;Erststimmenseite mehrere Kreuze;1258;500;758
BE;1;Sonstige Ursachen;473;342;131
BE;2;Summe;4855;1536;3319
BE;2;Zweitstimmenseite leer oder durchgestrichen;3501;1263;2239
BE;2;Zweitstimmenseite mehrere Kreuze;1278;255;1023
BE;2;Sonstige Ursachen;75;18;57
BE-O;Summe;Ungültige Erststimmen;9874;4220;5654
BE-O;Summe;Ungültige Zweitstimmen;8997;3584;5413
BE-O;Beide;Summe;6941;2841;4100
BE-O;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;2919;1109;1809
BE-O;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;654;191;463
BE-O;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;450;99;350
BE-O;Beide;Beide Seiten mehrere Kreuze;1761;718;1043
BE-O;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;105;31;75
BE-O;Beide;Beide Seiten sonstige Ursachen;1052;693;360
BE-O;1;Summe;2933;1379;1554
BE-O;1;Erststimmenseite leer oder durchgestrichen;2088;960;1128
BE-O;1;Erststimmenseite mehrere Kreuze;558;217;341
BE-O;1;Sonstige Ursachen;287;202;85
BE-O;2;Summe;2056;743;1313
BE-O;2;Zweitstimmenseite leer oder durchgestrichen;1427;579;848
BE-O;2;Zweitstimmenseite mehrere Kreuze;588;146;442
BE-O;2;Sonstige Ursachen;41;18;23
BE-W;Summe;Ungültige Erststimmen;16786;8319;8467
BE-W;Summe;Ungültige Zweitstimmen;14095;6376;7719
BE-W;Beide;Summe;11296;5582;5713
BE-W;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;5328;2523;2805
BE-W;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1071;487;583
BE-W;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;666;296;370
BE-W;Beide;Beide Seiten mehrere Kreuze;2774;1380;1394
BE-W;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;272;205;67
BE-W;Beide;Beide Seiten sonstige Ursachen;1185;690;494
BE-W;1;Summe;5490;2736;2754
BE-W;1;Erststimmenseite leer oder durchgestrichen;4605;2314;2291
BE-W;1;Erststimmenseite mehrere Kreuze;700;283;417
BE-W;1;Sonstige Ursachen;186;140;46
BE-W;2;Summe;2799;793;2006
BE-W;2;Zweitstimmenseite leer oder durchgestrichen;2074;683;1391
BE-W;2;Zweitstimmenseite mehrere Kreuze;691;110;581
BE-W;2;Sonstige Ursachen;34;0;34
BB;Summe;Ungültige Erststimmen;23743;9981;13762
BB;Summe;Ungültige Zweitstimmen;21314;8420;12894
BB;Beide;Summe;14665;6107;8558
BB;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;7615;3351;4263
BB;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1806;610;1197
BB;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1296;422;873
BB;Beide;Beide Seiten mehrere Kreuze;2920;1213;1707
BB;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;54;24;30
BB;Beide;Beide Seiten sonstige Ursachen;974;487;487
BB;1;Summe;9078;3874;5204
BB;1;Erststimmenseite leer oder durchgestrichen;7807;3400;4408
BB;1;Erststimmenseite mehrere Kreuze;1132;440;692
BB;1;Sonstige Ursachen;138;34;104
BB;2;Summe;6649;2313;4336
BB;2;Zweitstimmenseite leer oder durchgestrichen;5343;1766;3577
BB;2;Zweitstimmenseite mehrere Kreuze;1138;519;618
BB;2;Sonstige Ursachen;169;28;140
MV;Summe;Ungültige Erststimmen;11742;4945;6797
MV;Summe;Ungültige Zweitstimmen;11077;4821;6256
MV;Beide;Summe;8224;3746;4478
MV;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;3795;1832;1963
MV;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;817;289;527
MV;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1030;269;761
MV;Beide;Beide Seiten mehrere Kreuze;2289;1199;1090
MV;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;12;0;12
MV;Beide;Beide Seiten sonstige Ursachen;281;157;125
