# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige
15;Sachsen-Anhalt;E;Zusammen;1854891;1263474;22949;1240525;401454;213058;238047;38938;;81211;210127;;15364;28163;;;2186;;;;2039;;;;;4102;;;;;;;;2570;;;;;;;;;;;;;3266
15;Sachsen-Anhalt;E;Urne;1854891;1037519;20466;1017053;324084;173078;193147;29514;;65133;183563;;13791;23787;;;1602;;;;1633;;;;;3289;;;;;;;;1959;;;;;;;;;;;;;2473
15;Sachsen-Anhalt;E;Brief;;225955;2483;223472;77370;39980;44900;9424;;16078;26564;;1573;4376;;;584;;;;406;;;;;813;;;;;;;;611;;;;;;;;;;;;;793
15;Sachsen-Anhalt;Z;Zusammen;1854891;1263474;18494;1244980;377411;188980;220858;46243;;96555;244401;;9737;14392;;;13554;;;;1847;;;;;18715;;3762;2908;;;;;5617;;;;;;;;;;;;;
15;Sachsen-Anhalt;Z;Urne;1854891;1037519;16854;1020665;303005;154905;178788;34929;;77048;213844;;8770;11888;;;11192;;;;1464;;;;;15606;;2658;2149;;;;;4419;;;;;;;;;;;;;
15;Sachsen-Anhalt;Z;Brief;;225955;1640;224315;74406;34075;42070;11314;;19507;30557;;967;2504;;;2362;;;;383;;;;;3109;;1104;759;;;;;1198;;;;;;;;;;;;;
11;Berlin;E;Zusammen;2503070;1892134;26660;1865474;460296;391772;377564;230935;;105053;212211;3005;1951;5720;;2663;53335;;;;1843;3033;472;;;;672;;;;;4300;772;;766;;1537;;;;;;439;1352;;;5783
11;Berlin;E;Urne;2503070;1260360;20060;1240300;286082;264034;260988;146255;;64656;159033;2173;1425;4038;;1792;36596;;;;1378;2043;329;;;;424;;;;;2483;483;;466;;1054;;;;;;215;919;;;3434
11;Berlin;E;Brief;;631774;6600;625174;174214;127738;116576;84680;;40397;53178;832;526;1682;;871;16739;;;;465;990;143;;;;248;;;;;1817;289;;300;;483;;;;;;224;433;;;2349
11;Berlin;Z;Zusammen;2503070;1892134;23092;1869042;424321;334253;351170;234947;;167046;225170;10894;;5354;25415;3206;39027;;;;1617;1198;473;;;;911;6926;7467;1685;4212;10009;3032;;3144;;4832;2733;;;;;;;;;
11;Berlin;Z;Urne;2503070;1260360;18034;1242326;260532;224640;243111;152462;;102897;168489;8225;;3675;17566;2143;27215;;;;1223;792;359;;;;539;4307;4673;1041;3147;6048;2053;;2151;;3289;1749;;;;;;;;;
11;Berlin;Z;Brief;;631774;5058;626716;163789;109613;108059;82485;;64149;56681;2669;;1679;7849;1063;11812;;;;394;406;114;;;;372;2619;2794;644;1065;3961;979;;993;;1543;984;;;;;;;;;
5;Nordrhein-Westfalen;E;Zusammen;13174577;9938461;124291;9814170;3756952;3073698;626631;641360;;787235;799777;28162;;26201;;5331;38617;;6316;;10466;;;;;;;;;1284;;;;;;;;;;;984;;;;;;11156
5;Nordrhein-Westfalen;E;Urne;13174577;6880974;99830;6781144;2464328;2190882;469540;428961;;520776;617574;21019;;17685;;3364;26271;;4213;;7910;;;;;;;;;851;;;;;;;;;;;651;;;;;;7119
5;Nordrhein-Westfalen;E;Brief;;3057487;24461;3033026;1292624;882816;157091;212399;;266459;182203;7143;;8516;;1967;12346;;2103;;2556;;;;;;;;;433;;;;;;;;;;;333;;;;;;4037
5;Nordrhein-Westfalen;Z;Zusammen;13174577;9938461;85084;9853377;3214013;2557876;736904;744970;;1293052;928425;43580;21287;27788;73941;12044;81576;;9631;;6425;;818;;41251;;;9971;12202;2217;9859;;;;;5991;9043;10513;;;;;;;;;
5;Nordrhein-Westfalen;Z;Urne;13174577;6880974;70679;6810295;2087219;1814808;546636;520282;;846105;718219;33095;16538;19425;50526;8234;59604;;5560;;5222;;656;;37605;;;5994;8091;1550;7496;;;;;4347;6120;6963;;;;;;;;;
5;Nordrhein-Westfalen;Z;Brief;;3057487;14405;3043082;1126794;743068;190268;224688;;446947;210206;10485;4749;8363;23415;3810;21972;;4071;;1203;;162;;3646;;;3977;4111;667;2363;;;;;1644;2923;3550;;;;;;;;;
14;Sachsen;E;Zusammen;3329550;2509684;39951;2469733;756206;289109;432722;112300;;165449;628048;7286;4079;13761;;3622;21473;;;;779;10598;334;;;;;;;;;;;;;;;;;;;;;;;;23967
14;Sachsen;E;Urne;3329550;1980289;34420;1945869;585552;223280;334190;79562;;128006;530307;5222;3336;10779;;2367;15214;;;;553;8349;253;;;;;;;;;;;;;;;;;;;;;;;;18899
14;Sachsen;E;Brief;;529395;5531;523864;170654;65829;98532;32738;;37443;97741;2064;743;2982;;1255;6259;;;;226;2249;81;;;;;;;;;;;;;;;;;;;;;;;;5068
14;Sachsen;Z;Zusammen;3329550;2509684;30280;2479404;665751;261105;398627;113608;;203662;669940;11056;28215;27471;35121;6809;31999;;;;2566;3490;;;;;;9451;6475;;;;;;;;;4058;;;;;;;;;
14;Sachsen;Z;Urne;3329550;1980289;26835;1953454;509841;202794;307190;81401;;156175;564986;8790;24548;21587;27953;5069;24749;;;;1961;2604;;;;;;6418;4495;;;;;;;;;2893;;;;;;;;;
14;Sachsen;Z;Brief;;529395;3445;525950;155910;58311;91437;32207;;47487;104954;2266;3667;5884;7168;1740;7250;;;;605;886;;;;;;3033;1980;;;;;;;;;1165;;;;;;;;;
6;Hessen;E;Zusammen;4408986;3395441;50889;3344552;1185393;974954;220145;270221;;238437;375528;5844;4423;48199;;;13786;;;;1869;;97;;;;;;;234;;;;;;;;;;;522;;;;;;4900
6;Hessen;E;Urne;4408986;2488532;40685;2447847;835365;730254;169643;191927;;167909;295626;4429;3681;34046;;;10011;;;;1453;;66;;;;;;;169;;;;;;;;;;;316;;;;;;2952
